"","WS_c1.which.mclass....7...1."
"944","AT1G75340"
"945","AT1G75370"
"946","AT1G75380"
"947","AT1G75390"
"948","AT1G75400"
"949","AT1G75410"
"950","AT1G75420"
"951","AT1G75560"
"952","AT1G75760"
"953","AT1G75850"
"954","AT1G75990"
"955","AT1G76040"
"956","AT1G76070"
"957","AT1G76150"
"958","AT1G76240"
"959","AT1G76320"
"960","AT1G76340"
"961","AT1G76390"
"962","AT1G76460"
"963","AT1G76510"
"964","AT1G76540"
"965","AT1G76580"
"966","AT1G76630"
"967","AT1G76660"
"968","AT1G76690"
"969","AT1G76890"
"970","AT1G76920"
"971","AT1G77120"
"972","AT1G77140"
"973","AT1G77220"
"974","AT1G77230"
"975","AT1G77240"
"976","AT1G77260"
"977","AT1G77280"
"978","AT1G77370"
"979","AT1G77440"
"980","AT1G77450"
"981","AT1G77460"
"982","AT1G77470"
"983","AT1G77480"
"984","AT1G77500"
"985","AT1G77600"
"986","AT1G77670"
"987","AT1G77680"
"988","AT1G77920"
"989","AT1G78020"
"990","AT1G78050"
"991","AT1G78090"
"992","AT1G78100"
"993","AT1G78110"
"994","AT1G78260"
"995","AT1G78280"
"996","AT1G78420"
"997","AT1G78560"
"998","AT1G78600"
"999","AT1G78610"
"1000","AT1G78630"
"1001","AT1G78800"
"1002","AT1G78820"
"1003","AT1G78870"
"1004","AT1G78990"
"1005","AT1G79030"
"1006","AT1G79040"
"1007","AT1G79190"
"1008","AT1G79210"
"1009","AT1G79380"
"1010","AT1G79390"
"1011","AT1G79410"
"1012","AT1G79460"
"1013","AT1G79500"
"1014","AT1G79590"
"1015","AT1G79600"
"1016","AT1G79610"
"1017","AT1G79620"
"1018","AT1G79630"
"1019","AT1G79660"
"1020","AT1G79670"
"1021","AT1G79730"
"1022","AT1G79740"
"1023","AT1G79760"
"1024","AT1G79820"
"1025","AT1G79870"
"1026","AT1G79950"
"1027","AT1G79970"
"1028","AT1G79985"
"1029","AT1G80000"
"1030","AT1G80010"
"1031","AT1G80030"
"1032","AT1G80260"
"1033","AT1G80310"
"1034","AT1G80320"
"1035","AT1G80350"
"1036","AT1G80500"
"1037","AT1G80620"
"1038","AT1G80670"
"1039","AT1G80690"
"1040","AT1G80750"
"1041","AT1G80820"
"1042","AT1G80910"
"1043","AT1G80950"
"1044","AT2G01060"
"1045","AT2G01070"
"1046","AT2G01130"
"1047","AT2G01150"
"1048","AT2G01170"
"1049","AT2G01220"
"1050","AT2G01260"
"1051","AT2G01440"
"1052","AT2G01460"
"1053","AT2G01480"
"1054","AT2G01540"
"1055","AT2G01610"
"1056","AT2G01630"
"1057","AT2G01650"
"1058","AT2G01670"
"1059","AT2G01710"
"1060","AT2G01750"
"1061","AT2G01850"
"1062","AT2G01900"
"1063","AT2G01980"
"1064","AT2G02090"
"1065","AT2G02390"
"1066","AT2G02480"
"1067","AT2G02570"
"1068","AT2G02710"
"1069","AT2G02790"
"1070","AT2G02800"
"1071","AT2G02810"
"1072","AT2G02820"
"1073","AT2G02860"
"1074","AT2G02960"
"1075","AT2G02970"
"1076","AT2G03140"
"1077","AT2G03220"
"1078","AT2G03340"
"1079","AT2G03470"
"1080","AT2G03480"
"1081","AT2G03730"
"1082","AT2G04305"
"1083","AT2G04400"
"1084","AT2G04410"
"1085","AT2G04550"
"1086","AT2G04630"
"1087","AT2G04690"
"1088","AT2G04865"
"1089","AT2G04880"
"1090","AT2G04900"
"1091","AT2G04940"
"1092","AT2G05120"
"1093","AT2G05230"
"1094","AT2G05260"
"1095","AT2G06210"
"1096","AT2G07180"
"1097","AT2G07680"
"1098","AT2G07690"
"1099","AT2G11000"
"1100","AT2G11520"
"1101","AT2G11890"
"1102","AT2G13100"
"1103","AT2G13440"
"1104","AT2G14260"
"1105","AT2G14878"
"1106","AT2G14900"
"1107","AT2G15230"
"1108","AT2G15240"
"1109","AT2G15290"
"1110","AT2G15430"
"1111","AT2G15480"
"1112","AT2G15530"
"1113","AT2G15690"
"1114","AT2G15790"
"1115","AT2G15860"
"1116","AT2G15890"
"1117","AT2G15900"
"1118","AT2G16060"
"1119","AT2G16280"
"1120","AT2G16365"
"1121","AT2G16370"
"1122","AT2G16400"
"1123","AT2G16430"
"1124","AT2G16440"
"1125","AT2G16530"
"1126","AT2G16570"
"1127","AT2G16660"
"1128","AT2G16700"
"1129","AT2G16740"
"1130","AT2G16800"
"1131","AT2G16860"
"1132","AT2G16920"
"1133","AT2G16930"
"1134","AT2G16980"
"1135","AT2G17020"
"1136","AT2G17150"
"1137","AT2G17230"
"1138","AT2G17340"
"1139","AT2G17370"
"1140","AT2G17480"
"1141","AT2G17530"
"1142","AT2G17550"
"1143","AT2G17580"
"1144","AT2G17630"
"1145","AT2G17760"
"1146","AT2G17800"
"1147","AT2G17870"
"1148","AT2G18196"
"1149","AT2G18230"
"1150","AT2G18330"
"1151","AT2G18360"
"1152","AT2G18390"
"1153","AT2G18510"
"1154","AT2G18570"
"1155","AT2G18630"
"1156","AT2G18690"
"1157","AT2G18710"
"1158","AT2G18840"
"1159","AT2G19080"
"1160","AT2G19160"
"1161","AT2G19170"
"1162","AT2G19270"
"1163","AT2G19390"
"1164","AT2G19450"
"1165","AT2G19470"
"1166","AT2G19580"
"1167","AT2G19600"
"1168","AT2G19640"
"1169","AT2G19670"
"1170","AT2G19680"
"1171","AT2G19740"
"1172","AT2G19750"
"1173","AT2G19790"
"1174","AT2G19800"
"1175","AT2G19880"
"1176","AT2G19940"
"1177","AT2G19950"
"1178","AT2G20000"
"1179","AT2G20010"
"1180","AT2G20050"
"1181","AT2G20120"
"1182","AT2G20130"
"1183","AT2G20290"
"1184","AT2G20300"
"1185","AT2G20320"
"1186","AT2G20330"
"1187","AT2G20340"
"1188","AT2G20560"
"1189","AT2G20670"
"1190","AT2G20750"
"1191","AT2G20780"
"1192","AT2G20790"
"1193","AT2G20810"
"1194","AT2G20830"
"1195","AT2G20890"
"1196","AT2G20900"
"1197","AT2G20950"
"1198","AT2G20960"
"1199","AT2G21050"
"1200","AT2G21060"
"1201","AT2G21120"
"1202","AT2G21150"
"1203","AT2G21190"
"1204","AT2G21230"
"1205","AT2G21240"
"1206","AT2G21270"
"1207","AT2G21380"
"1208","AT2G21470"
"1209","AT2G21560"
"1210","AT2G21600"
"1211","AT2G21950"
"1212","AT2G22080"
"1213","AT2G22230"
"1214","AT2G22425"
"1215","AT2G22475"
"1216","AT2G22490"
"1217","AT2G22540"
"1218","AT2G22560"
"1219","AT2G22610"
"1220","AT2G22680"
"1221","AT2G22910"
"1222","AT2G22930"
"1223","AT2G23050"
"1224","AT2G23140"
"1225","AT2G23150"
"1226","AT2G23300"
"1227","AT2G23310"
"1228","AT2G23320"
"1229","AT2G23380"
"1230","AT2G23420"
"1231","AT2G23450"
"1232","AT2G23460"
"1233","AT2G23520"
"1234","AT2G23600"
"1235","AT2G23700"
"1236","AT2G23740"
"1237","AT2G23780"
"1238","AT2G23790"
"1239","AT2G23890"
"1240","AT2G23910"
"1241","AT2G23930"
