"","X","WS_c1.which.mclass....3...1."
"3945",3945,"AT5G65800"
"428",428,"AT1G27410"
"3751",3751,"AT5G52710"
"1250",1250,"AT2G21100"
"1736",1736,"AT3G03815"
"2064",2064,"AT3G23790"
"833",833,"AT1G66740"
"1299",1299,"AT2G23760"
"1628",1628,"AT2G45080"
"1445",1445,"AT2G34170"
"2131",2131,"AT3G28130"
"1091",1091,"AT2G01990"
"3796",3796,"AT5G55640"
"623",623,"AT1G53110"
"3418",3418,"AT5G22690"
"3107",3107,"AT5G02590"
"2650",2650,"AT4G15510"
"3470",3470,"AT5G25440"
"3114",3114,"AT5G02940"
"3536",3536,"AT5G38860"
"3761",3761,"AT5G53045"
"163",163,"AT1G09815"
"1689",1689,"AT3G01516"
"2263",2263,"AT3G50840"
"1016",1016,"AT1G77640"
"2000",2000,"AT3G19280"
"2111",2111,"AT3G27010"
"2854",2854,"AT4G27290"
"695",695,"AT1G58190"
"620",620,"AT1G52910"
"3351",3351,"AT5G17790"
"2507",2507,"AT4G03270"
"3797",3797,"AT5G55710"
"103",103,"AT1G06227"
"364",364,"AT1G21410"
"464",464,"AT1G29960"
"3925",3925,"AT5G64816"
"1799",1799,"AT3G07000"
"2947",2947,"AT4G32890"
"936",936,"AT1G72850"
"2698",2698,"AT4G18205"
"3384",3384,"AT5G19560"
"634",634,"AT1G53990"
"3548",3548,"AT5G39830"
"1200",1200,"AT2G17640"
"609",609,"AT1G52510"
"3859",3859,"AT5G59750"
"495",495,"AT1G32470"
"3855",3855,"AT5G59530"
"2045",2045,"AT3G22460"
"2427",2427,"AT3G62000"
"797",797,"AT1G64480"
"2202",2202,"AT3G47360"
"2745",2745,"AT4G21170"
"3314",3314,"AT5G15820"
"3109",3109,"AT5G02630"
"3436",3436,"AT5G23750"
"2584",2584,"AT4G11970"
"2928",2928,"AT4G31510"
"2483",2483,"AT4G01920"
"1347",1347,"AT2G27760"
"2306",2306,"AT3G53730"
"3067",3067,"AT5G01280"
"236",236,"AT1G13430"
"3452",3452,"AT5G24318"
"195",195,"AT1G11125"
"3659",3659,"AT5G46710"
"303",303,"AT1G17460"
"2195",2195,"AT3G46870"
"1012",1012,"AT1G77310"
"554",554,"AT1G47820"
"868",868,"AT1G68640"
"2880",2880,"AT4G28690"
"898",898,"AT1G70430"
"2533",2533,"AT4G05330"
"3001",3001,"AT4G36580"
"2043",2043,"AT3G22160"
"1943",1943,"AT3G15720"
"2492",2492,"AT4G02390"
"2151",2151,"AT3G29375"
"3748",3748,"AT5G52420"
"2237",2237,"AT3G49330"
"3961",3961,"AT5G66490"
"780",780,"AT1G63400"
"1464",1464,"AT2G35370"
"3680",3680,"AT5G48470"
"35",35,"AT1G03100"
"3386",3386,"AT5G19800"
"641",641,"AT1G54250"
"2624",2624,"AT4G14190"
"346",346,"AT1G19990"
"2172",2172,"AT3G45080"
"1950",1950,"AT3G16320"
"2419",2419,"AT3G61360"
"1734",1734,"AT3G03690"
"334",334,"AT1G19025"
"848",848,"AT1G67760"
"993",993,"AT1G76100"
"816",816,"AT1G65710"
"1053",1053,"AT1G79700"
"1131",1131,"AT2G05160"
"2023",2023,"AT3G20640"
"2150",2150,"AT3G29290"
"800",800,"AT1G64580"
"635",635,"AT1G54040"
"2423",2423,"AT3G61530"
"3949",3949,"AT5G65925"
"2440",2440,"AT3G62890"
"2631",2631,"AT4G14695"
"2645",2645,"AT4G15270"
"1042",1042,"AT1G79070"
"2165",2165,"AT3G44510"
"3920",3920,"AT5G64520"
"1685",1685,"AT3G01435"
"825",825,"AT1G66230"
"806",806,"AT1G64920"
"2415",2415,"AT3G61150"
"3429",3429,"AT5G23360"
"3193",3193,"AT5G07010"
"2748",2748,"AT4G21210"
"2734",2734,"AT4G20050"
"562",562,"AT1G48580"
"2008",2008,"AT3G19900"
"1471",1471,"AT2G35660"
"3430",3430,"AT5G23370"
"1049",1049,"AT1G79320"
"3664",3664,"AT5G47550"
"2267",2267,"AT3G51090"
"2072",2072,"AT3G24515"
"1324",1324,"AT2G26310"
