"","WS_FLT_c1.which.mclass....2...1."
"1156","AT3G45160"
"1157","AT3G45260"
"1158","AT3G45740"
"1159","AT3G45890"
"1160","AT3G45900"
"1161","AT3G46210"
"1162","AT3G46220"
"1163","AT3G46560"
"1164","AT3G46668"
"1165","AT3G46670"
"1166","AT3G47040"
"1167","AT3G47060"
"1168","AT3G47290"
"1169","AT3G47570"
"1170","AT3G47580"
"1171","AT3G47590"
"1172","AT3G47610"
"1173","AT3G47800"
"1174","AT3G47833"
"1175","AT3G47850"
"1176","AT3G47990"
"1177","AT3G48195"
"1178","AT3G48330"
"1179","AT3G48346"
"1180","AT3G48450"
"1181","AT3G48590"
"1182","AT3G48720"
"1183","AT3G48820"
"1184","AT3G48880"
"1185","AT3G49000"
"1186","AT3G49180"
"1187","AT3G49190"
"1188","AT3G49350"
"1189","AT3G49590"
"1190","AT3G49640"
"1191","AT3G49810"
"1192","AT3G49845"
"1193","AT3G49850"
"1194","AT3G49880"
"1195","AT3G50070"
"1196","AT3G50210"
"1197","AT3G50560"
"1198","AT3G50750"
"1199","AT3G50780"
"1200","AT3G50880"
"1201","AT3G50920"
"1202","AT3G51040"
"1203","AT3G51080"
"1204","AT3G51238"
"1205","AT3G51360"
"1206","AT3G51430"
"1207","AT3G51450"
"1208","AT3G51580"
"1209","AT3G51720"
"1210","AT3G51830"
"1211","AT3G52030"
"1212","AT3G52100"
"1213","AT3G52190"
"1214","AT3G52240"
"1215","AT3G52280"
"1216","AT3G52370"
"1217","AT3G52430"
"1218","AT3G52748"
"1219","AT3G52760"
"1220","AT3G53030"
"1221","AT3G53090"
"1222","AT3G53100"
"1223","AT3G53270"
"1224","AT3G53340"
"1225","AT3G53400"
"1226","AT3G53530"
"1227","AT3G53570"
"1228","AT3G53620"
"1229","AT3G53670"
"1230","AT3G53720"
"1231","AT3G53760"
"1232","AT3G53780"
"1233","AT3G53930"
"1234","AT3G53950"
"1235","AT3G54030"
"1236","AT3G54170"
"1237","AT3G54200"
"1238","AT3G54610"
"1239","AT3G54820"
"1240","AT3G54826"
