"","X","WS_FLT_c1.which.mclass....4...1."
"52",52,"AT1G04047"
"3447",3447,"AT5G26190"
"195",195,"AT1G08973"
"3354",3354,"AT5G18475"
"1619",1619,"AT2G38570"
"1729",1729,"AT2G46510"
"2215",2215,"AT3G43950"
"960",960,"AT1G70800"
"2644",2644,"AT4G11140"
"3198",3198,"AT5G07650"
"3568",3568,"AT5G43140"
"3975",3975,"ATCG01230"
"125",125,"AT1G06083"
"3203",3203,"AT5G07800"
"1663",1663,"AT2G41730"
"3509",3509,"AT5G39420"
"1448",1448,"AT2G28830"
"2202",2202,"AT3G29780"
"744",744,"AT1G57590"
"3888",3888,"AT5G64230"
"2741",2741,"AT4G16807"
"23",23,"AT1G02340"
"2482",2482,"AT3G61160"
"2477",2477,"AT3G60840"
"2941",2941,"AT4G32340"
"1596",1596,"AT2G37640"
"444",444,"AT1G22030"
"2137",2137,"AT3G25655"
"1843",1843,"AT3G04825"
"996",996,"AT1G73010"
"523",523,"AT1G29770"
"2528",2528,"AT4G00940"
"685",685,"AT1G52880"
"768",768,"AT1G60460"
"1886",1886,"AT3G07273"
"844",844,"AT1G64355"
"3981",3981,"ATMG00300"
"1996",1996,"AT3G14225"
"723",723,"AT1G55290"
"487",487,"AT1G26810"
"1557",1557,"AT2G35600"
"3858",3858,"AT5G61570"
"1007",1007,"AT1G73400"
"2122",2122,"AT3G24460"
"1018",1018,"AT1G74010"
"1805",1805,"AT3G03125"
"1247",1247,"AT2G08820"
"1262",1262,"AT2G12190"
"1840",1840,"AT3G04760"
"1380",1380,"AT2G23170"
"1585",1585,"AT2G37280"
"3352",3352,"AT5G18360"
"260",260,"AT1G11160"
"1131",1131,"AT1G79510"
"386",386,"AT1G18170"
"263",263,"AT1G11280"
"2377",2377,"AT3G54140"
"2648",2648,"AT4G11280"
"3299",3299,"AT5G14960"
"188",188,"AT1G08387"
"2531",2531,"AT4G01020"
"2793",2793,"AT4G20350"
"3936",3936,"AT5G66740"
"469",469,"AT1G24530"
"3801",3801,"AT5G57450"
"2945",2945,"AT4G33000"
"198",198,"AT1G09040"
"270",270,"AT1G11540"
"3928",3928,"AT5G66595"
"3834",3834,"AT5G59895"
"1961",1961,"AT3G11402"
"1861",1861,"AT3G05480"
"1785",1785,"AT3G02010"
"2503",2503,"AT3G62100"
"203",203,"AT1G09220"
"59",59,"AT1G04180"
"2592",2592,"AT4G06340"
"3333",3333,"AT5G17240"
"2963",2963,"AT4G34131"
"3081",3081,"AT5G01660"
"3127",3127,"AT5G03190"
"1422",1422,"AT2G26410"
"3438",3438,"AT5G25610"
"668",668,"AT1G51700"
"1565",1565,"AT2G35890"
"385",385,"AT1G18140"
"985",985,"AT1G72275"
"1943",1943,"AT3G10320"
"1851",1851,"AT3G05190"
"3562",3562,"AT5G42590"
"1584",1584,"AT2G37260"
"2614",2614,"AT4G08480"
"3300",3300,"AT5G15025"
"3856",3856,"AT5G61550"
"400",400,"AT1G19050"
"3748",3748,"AT5G53830"
