"","WS_GC_c1.which.mclass....4...1."
"863","AT5G03550"
"864","AT5G04010"
"865","AT5G04150"
"866","AT5G04230"
"867","AT5G05340"
"868","AT5G05365"
"869","AT5G05530"
"870","AT5G06250"
"871","AT5G06285"
"872","AT5G06380"
"873","AT5G06490"
"874","AT5G06760"
"875","AT5G06790"
"876","AT5G06820"
"877","AT5G06870"
"878","AT5G07190"
"879","AT5G07200"
"880","AT5G07280"
"881","AT5G07330"
"882","AT5G07571"
"883","AT5G07572"
"884","AT5G08391"
"885","AT5G08600"
"886","AT5G08835"
"887","AT5G08855"
"888","AT5G08880"
"889","AT5G09435"
"890","AT5G09500"
"891","AT5G09535"
"892","AT5G09730"
"893","AT5G09855"
"894","AT5G10660"
"895","AT5G10946"
"896","AT5G11620"
"897","AT5G12030"
"898","AT5G12235"
"899","AT5G13170"
"900","AT5G13320"
"901","AT5G14070"
"902","AT5G14895"
"903","AT5G14980"
"904","AT5G15025"
"905","AT5G15160"
"906","AT5G15310"
"907","AT5G16200"
"908","AT5G17100"
"909","AT5G17165"
"910","AT5G17340"
"911","AT5G17540"
"912","AT5G17810"
"913","AT5G17960"
"914","AT5G18180"
"915","AT5G18340"
"916","AT5G18510"
"917","AT5G18661"
"918","AT5G18735"
"919","AT5G19151"
"920","AT5G19170"
"921","AT5G20670"
"922","AT5G20710"
"923","AT5G20790"
"924","AT5G21030"
"925","AT5G21910"
"926","AT5G21960"
"927","AT5G22240"
"928","AT5G22270"
"929","AT5G22530"
"930","AT5G22545"
"931","AT5G22560"
"932","AT5G23600"
"933","AT5G23770"
"934","AT5G24110"
"935","AT5G24275"
"936","AT5G24352"
"937","AT5G24570"
"938","AT5G24920"
"939","AT5G25240"
"940","AT5G25340"
"941","AT5G25910"
"942","AT5G26170"
"943","AT5G26190"
"944","AT5G26200"
"945","AT5G26790"
"946","AT5G26930"
"947","AT5G27290"
"948","AT5G27440"
"949","AT5G27890"
"950","AT5G28010"
"951","AT5G35870"
"952","AT5G36710"
"953","AT5G37150"
"954","AT5G37410"
"955","AT5G37490"
"956","AT5G37670"
"957","AT5G38060"
"958","AT5G38070"
"959","AT5G38250"
"960","AT5G38790"
"961","AT5G38800"
"962","AT5G38865"
"963","AT5G38990"
"964","AT5G39080"
"965","AT5G39150"
"966","AT5G39220"
"967","AT5G39790"
"968","AT5G40210"
"969","AT5G41050"
"970","AT5G41300"
"971","AT5G41390"
"972","AT5G41470"
"973","AT5G41740"
"974","AT5G41750"
"975","AT5G41820"
"976","AT5G41860"
"977","AT5G42070"
"978","AT5G42120"
"979","AT5G42530"
"980","AT5G42610"
"981","AT5G43050"
"982","AT5G43520"
"983","AT5G43590"
"984","AT5G43730"
"985","AT5G43980"
"986","AT5G45475"
"987","AT5G45520"
"988","AT5G45630"
"989","AT5G45680"
"990","AT5G45740"
"991","AT5G45960"
"992","AT5G46115"
"993","AT5G46500"
"994","AT5G46660"
"995","AT5G47130"
"996","AT5G47170"
"997","AT5G47330"
"998","AT5G47850"
"999","AT5G47900"
"1000","AT5G48430"
"1001","AT5G48670"
"1002","AT5G48690"
"1003","AT5G49070"
"1004","AT5G49152"
"1005","AT5G49170"
"1006","AT5G49305"
"1007","AT5G49620"
"1008","AT5G49700"
"1009","AT5G49920"
"1010","AT5G50360"
"1011","AT5G50700"
"1012","AT5G50710"
"1013","AT5G51030"
"1014","AT5G51210"
"1015","AT5G51330"
"1016","AT5G51390"
"1017","AT5G51480"
"1018","AT5G51520"
"1019","AT5G51760"
"1020","AT5G51800"
"1021","AT5G52100"
"1022","AT5G52290"
"1023","AT5G52300"
"1024","AT5G52340"
"1025","AT5G52690"
"1026","AT5G52760"
"1027","AT5G53030"
"1028","AT5G53200"
"1029","AT5G54570"
"1030","AT5G54710"
"1031","AT5G54790"
"1032","AT5G55370"
"1033","AT5G55490"
