"","X","phyD_FLT_c1.which.mclass....6...1."
"1855",1855,"AT2G45680"
"3776",3776,"AT5G17600"
"2580",2580,"AT3G53410"
"3438",3438,"AT4G38730"
"3716",3716,"AT5G13770"
"2351",2351,"AT3G26612"
"3823",3823,"AT5G19830"
"3781",3781,"AT5G17810"
"629",629,"AT1G43620"
"2809",2809,"AT4G02110"
"523",523,"AT1G29100"
"1132",1132,"AT1G75150"
"3672",3672,"AT5G10278"
"366",366,"AT1G18320"
"1690",1690,"AT2G37310"
"3154",3154,"AT4G23900"
"990",990,"AT1G68120"
"3811",3811,"AT5G19070"
"3297",3297,"AT4G31248"
"2801",2801,"AT4G01920"
"499",499,"AT1G27200"
"1301",1301,"AT2G07655"
"2702",2702,"AT3G60310"
"4214",4214,"AT5G50720"
"210",210,"AT1G10810"
"1495",1495,"AT2G25735"
"411",411,"AT1G20823"
"342",342,"AT1G17255"
"3322",3322,"AT4G32690"
"4159",4159,"AT5G47950"
"4484",4484,"AT5G66000"
"790",790,"AT1G55365"
"2774",2774,"AT4G00730"
"2204",2204,"AT3G17920"
"4390",4390,"AT5G60600"
"4171",4171,"AT5G48530"
"1906",1906,"AT3G01450"
"3110",3110,"AT4G21430"
"1516",1516,"AT2G27760"
"550",550,"AT1G30545"
"1498",1498,"AT2G26030"
"3317",3317,"AT4G32320"
"3118",3118,"AT4G21900"
"43",43,"AT1G03130"
"3854",3854,"AT5G22020"
"1216",1216,"AT1G80060"
"876",876,"AT1G62010"
"1827",1827,"AT2G43990"
"1557",1557,"AT2G30362"
"1895",1895,"AT2G48000"
"500",500,"AT1G27210"
"343",343,"AT1G17270"
"97",97,"AT1G05460"
"3303",3303,"AT4G31400"
"2347",2347,"AT3G26240"
"3168",3168,"AT4G24710"
"3186",3186,"AT4G25620"
"2254",2254,"AT3G20150"
"1327",1327,"AT2G15400"
"1471",1471,"AT2G24530"
"1492",1492,"AT2G25590"
"365",365,"AT1G18300"
"1457",1457,"AT2G23680"
"3515",3515,"AT5G02755"
"2139",2139,"AT3G14470"
"837",837,"AT1G59990"
"44",44,"AT1G03160"
"4368",4368,"AT5G59050"
"3726",3726,"AT5G14460"
"95",95,"AT1G05320"
"1563",1563,"AT2G30615"
"1412",1412,"AT2G20950"
"1314",1314,"AT2G12550"
"1598",1598,"AT2G32179"
"2288",2288,"AT3G22540"
"3621",3621,"AT5G07475"
"1364",1364,"AT2G18570"
"2134",2134,"AT3G14185"
"2314",2314,"AT3G24150"
"2310",2310,"AT3G23920"
"1587",1587,"AT2G31580"
"612",612,"AT1G35140"
"3807",3807,"AT5G18960"
"237",237,"AT1G12240"
"3193",3193,"AT4G25835"
"751",751,"AT1G53450"
"4031",4031,"AT5G40820"
"2126",2126,"AT3G13700"
"322",322,"AT1G16540"
"1826",1826,"AT2G43945"
"1447",1447,"AT2G23200"
"468",468,"AT1G24490"
"3038",3038,"AT4G17350"
"1998",1998,"AT3G06250"
"111",111,"AT1G05900"
"4436",4436,"AT5G63420"
"4290",4290,"AT5G54780"
"3153",3153,"AT4G23890"
"1910",1910,"AT3G01610"
"1637",1637,"AT2G34450"
"2379",2379,"AT3G28140"
