"","phyD_FLT_c1.which.mclass....7...1."
"752","AT2G25200"
"753","AT2G25440"
"754","AT2G25530"
"755","AT2G25680"
"756","AT2G26040"
"757","AT2G26150"
"758","AT2G26330"
"759","AT2G26480"
"760","AT2G26515"
"761","AT2G26560"
"762","AT2G26692"
"763","AT2G26740"
"764","AT2G26750"
"765","AT2G27240"
"766","AT2G27300"
"767","AT2G27390"
"768","AT2G27535"
"769","AT2G27630"
"770","AT2G28040"
"771","AT2G28270"
"772","AT2G28420"
"773","AT2G28630"
"774","AT2G28700"
"775","AT2G28850"
"776","AT2G28930"
"777","AT2G29090"
"778","AT2G29120"
"779","AT2G29380"
"780","AT2G29410"
"781","AT2G29430"
"782","AT2G29470"
"783","AT2G29600"
"784","AT2G29620"
"785","AT2G29630"
"786","AT2G30115"
"787","AT2G30370"
"788","AT2G30570"
"789","AT2G30750"
"790","AT2G30820"
"791","AT2G31180"
"792","AT2G31310"
"793","AT2G31380"
"794","AT2G31420"
"795","AT2G31540"
"796","AT2G31560"
"797","AT2G31590"
"798","AT2G31790"
"799","AT2G31920"
"800","AT2G32100"
"801","AT2G32140"
"802","AT2G32275"
"803","AT2G32340"
"804","AT2G32487"
"805","AT2G32510"
"806","AT2G32610"
"807","AT2G32620"
"808","AT2G32640"
"809","AT2G32660"
"810","AT2G32670"
"811","AT2G32680"
"812","AT2G32740"
"813","AT2G32750"
"814","AT2G32830"
"815","AT2G33000"
"816","AT2G33130"
"817","AT2G33160"
"818","AT2G33205"
"819","AT2G33260"
"820","AT2G33720"
"821","AT2G33750"
"822","AT2G33760"
"823","AT2G33810"
"824","AT2G33815"
"825","AT2G33855"
"826","AT2G34080"
"827","AT2G34220"
"828","AT2G34230"
"829","AT2G34240"
"830","AT2G34315"
"831","AT2G34320"
"832","AT2G34360"
"833","AT2G34400"
"834","AT2G34540"
"835","AT2G34580"
"836","AT2G34600"
"837","AT2G35300"
"838","AT2G35310"
"839","AT2G35370"
"840","AT2G35384"
"841","AT2G35420"
"842","AT2G35550"
"843","AT2G35600"
"844","AT2G35637"
"845","AT2G35640"
"846","AT2G35660"
"847","AT2G35700"
"848","AT2G35770"
"849","AT2G35820"
"850","AT2G35890"
"851","AT2G35960"
"852","AT2G35980"
"853","AT2G36030"
"854","AT2G36295"
"855","AT2G36500"
"856","AT2G36560"
"857","AT2G36630"
"858","AT2G36695"
"859","AT2G36780"
"860","AT2G36800"
"861","AT2G37000"
"862","AT2G37025"
"863","AT2G37370"
"864","AT2G37610"
"865","AT2G37805"
"866","AT2G37880"
"867","AT2G37900"
"868","AT2G38100"
"869","AT2G38152"
"870","AT2G38460"
"871","AT2G38465"
"872","AT2G38490"
"873","AT2G38790"
"874","AT2G39010"
