"","col_c1.which.mclass....9...1."
"1004","AT2G21860"
"1005","AT2G22140"
"1006","AT2G22240"
"1007","AT2G22360"
"1008","AT2G22410"
"1009","AT2G22482"
"1010","AT2G22620"
"1011","AT2G22730"
"1012","AT2G22740"
"1013","AT2G22790"
"1014","AT2G22800"
"1015","AT2G22850"
"1016","AT2G22910"
"1017","AT2G22930"
"1018","AT2G23100"
"1019","AT2G23290"
"1020","AT2G23348"
"1021","AT2G23430"
"1022","AT2G23440"
"1023","AT2G23470"
"1024","AT2G23530"
"1025","AT2G23670"
"1026","AT2G23672"
"1027","AT2G23680"
"1028","AT2G23690"
"1029","AT2G23760"
"1030","AT2G23770"
"1031","AT2G23910"
"1032","AT2G23960"
"1033","AT2G24120"
"1034","AT2G24140"
"1035","AT2G24190"
"1036","AT2G24250"
"1037","AT2G24310"
"1038","AT2G24350"
"1039","AT2G24395"
"1040","AT2G24520"
"1041","AT2G24530"
"1042","AT2G24592"
"1043","AT2G24700"
"1044","AT2G24762"
"1045","AT2G25000"
"1046","AT2G25050"
"1047","AT2G25090"
"1048","AT2G25220"
"1049","AT2G25240"
"1050","AT2G25290"
"1051","AT2G25350"
"1052","AT2G25590"
"1053","AT2G25605"
"1054","AT2G25680"
"1055","AT2G26000"
"1056","AT2G26030"
"1057","AT2G26310"
"1058","AT2G26390"
"1059","AT2G26440"
"1060","AT2G26520"
"1061","AT2G26540"
"1062","AT2G27035"
"1063","AT2G27060"
"1064","AT2G27150"
"1065","AT2G27389"
"1066","AT2G27490"
"1067","AT2G27790"
"1068","AT2G27920"
"1069","AT2G28050"
"1070","AT2G28105"
"1071","AT2G28210"
"1072","AT2G28260"
"1073","AT2G28305"
"1074","AT2G28460"
"1075","AT2G28590"
"1076","AT2G28830"
"1077","AT2G28880"
"1078","AT2G28990"
"1079","AT2G29065"
"1080","AT2G29130"
"1081","AT2G29180"
"1082","AT2G29260"
"1083","AT2G29320"
"1084","AT2G29640"
"1085","AT2G29650"
"1086","AT2G29760"
"1087","AT2G29970"
"1088","AT2G30010"
