"","WS_FLT_c1.which.mclass....3...1."
"976","AT1G54290"
"977","AT1G54310"
"978","AT1G54330"
"979","AT1G54340"
"980","AT1G54380"
"981","AT1G54385"
"982","AT1G54400"
"983","AT1G54440"
"984","AT1G54450"
"985","AT1G54500"
"986","AT1G54510"
"987","AT1G54520"
"988","AT1G54575"
"989","AT1G54650"
"990","AT1G54680"
"991","AT1G54710"
"992","AT1G54730"
"993","AT1G54790"
"994","AT1G54850"
"995","AT1G54960"
"996","AT1G54970"
"997","AT1G55000"
"998","AT1G55090"
"999","AT1G55140"
"1000","AT1G55152"
"1001","AT1G55170"
"1002","AT1G55250"
"1003","AT1G55265"
"1004","AT1G55270"
"1005","AT1G55365"
"1006","AT1G55380"
"1007","AT1G55390"
"1008","AT1G55450"
"1009","AT1G55460"
"1010","AT1G55475"
"1011","AT1G55510"
"1012","AT1G55540"
"1013","AT1G55590"
"1014","AT1G55620"
"1015","AT1G55630"
"1016","AT1G55675"
"1017","AT1G55750"
"1018","AT1G55760"
"1019","AT1G55810"
"1020","AT1G55820"
"1021","AT1G55830"
"1022","AT1G55870"
"1023","AT1G55910"
"1024","AT1G55930"
"1025","AT1G55960"
"1026","AT1G56000"
"1027","AT1G56020"
"1028","AT1G56050"
"1029","AT1G56090"
"1030","AT1G56145"
"1031","AT1G56170"
"1032","AT1G56180"
"1033","AT1G56260"
"1034","AT1G56290"
"1035","AT1G56345"
"1036","AT1G56350"
"1037","AT1G56420"
"1038","AT1G56440"
"1039","AT1G56550"
"1040","AT1G56560"
"1041","AT1G56570"
"1042","AT1G56580"
"1043","AT1G56610"
"1044","AT1G56612"
"1045","AT1G56630"
"1046","AT1G56720"
"1047","AT1G57590"
"1048","AT1G57600"
"1049","AT1G57700"
"1050","AT1G57790"
"1051","AT1G57820"
"1052","AT1G57870"
"1053","AT1G57990"
"1054","AT1G58060"
"1055","AT1G58170"
"1056","AT1G58190"
"1057","AT1G58200"
"1058","AT1G58210"
"1059","AT1G58220"
"1060","AT1G58230"
"1061","AT1G58250"
"1062","AT1G58340"
"1063","AT1G58350"
"1064","AT1G58370"
"1065","AT1G58410"
"1066","AT1G58470"
"1067","AT1G58643"
"1068","AT1G58936"
"1069","AT1G59540"
"1070","AT1G59640"
"1071","AT1G59650"
"1072","AT1G59700"
"1073","AT1G59740"
"1074","AT1G59750"
"1075","AT1G59820"
"1076","AT1G59890"
"1077","AT1G59970"
"1078","AT1G59980"
"1079","AT1G59990"
"1080","AT1G60095"
"1081","AT1G60130"
"1082","AT1G60160"
"1083","AT1G60220"
"1084","AT1G60230"
"1085","AT1G60390"
"1086","AT1G60420"
"1087","AT1G60430"
"1088","AT1G60440"
"1089","AT1G60490"
"1090","AT1G60545"
"1091","AT1G60550"
"1092","AT1G60560"
"1093","AT1G60610"
"1094","AT1G60620"
"1095","AT1G60650"
"1096","AT1G60670"
"1097","AT1G60740"
"1098","AT1G60790"
"1099","AT1G60800"
"1100","AT1G60810"
"1101","AT1G60890"
"1102","AT1G60950"
"1103","AT1G60990"
"1104","AT1G61000"
"1105","AT1G61030"
"1106","AT1G61065"
"1107","AT1G61140"
"1108","AT1G61210"
"1109","AT1G61240"
"1110","AT1G61260"
"1111","AT1G61280"
"1112","AT1G61350"
"1113","AT1G61360"
"1114","AT1G61370"
"1115","AT1G61380"
"1116","AT1G61430"
"1117","AT1G61560"
"1118","AT1G61580"
"1119","AT1G61640"
"1120","AT1G61660"
"1121","AT1G61750"
"1122","AT1G61760"
"1123","AT1G61820"
"1124","AT1G61850"
"1125","AT1G61980"
"1126","AT1G61990"
"1127","AT1G62010"
"1128","AT1G62045"
"1129","AT1G62110"
"1130","AT1G62120"
"1131","AT1G62170"
"1132","AT1G62200"
"1133","AT1G62250"
"1134","AT1G62280"
"1135","AT1G62305"
"1136","AT1G62310"
"1137","AT1G62500"
"1138","AT1G62520"
"1139","AT1G62600"
"1140","AT1G62610"
"1141","AT1G62740"
"1142","AT1G62800"
"1143","AT1G62810"
"1144","AT1G62830"
"1145","AT1G62960"
"1146","AT1G62970"
"1147","AT1G62981"
"1148","AT1G63010"
"1149","AT1G63090"
"1150","AT1G63100"
"1151","AT1G63160"
"1152","AT1G63245"
"1153","AT1G63260"
"1154","AT1G63295"
"1155","AT1G63410"
"1156","AT1G63440"
"1157","AT1G63480"
"1158","AT1G63490"
"1159","AT1G63610"
"1160","AT1G63650"
"1161","AT1G63720"
"1162","AT1G63810"
"1163","AT1G63850"
"1164","AT1G63900"
"1165","AT1G64050"
"1166","AT1G64080"
"1167","AT1G64110"
"1168","AT1G64185"
"1169","AT1G64220"
"1170","AT1G64390"
"1171","AT1G64400"
"1172","AT1G64450"
"1173","AT1G64510"
"1174","AT1G64580"
"1175","AT1G64600"
"1176","AT1G64620"
"1177","AT1G64630"
"1178","AT1G64740"
"1179","AT1G64760"
"1180","AT1G64810"
"1181","AT1G64840"
"1182","AT1G64890"
"1183","AT1G64910"
"1184","AT1G64960"
"1185","AT1G65000"
"1186","AT1G65032"
"1187","AT1G65040"
"1188","AT1G65080"
"1189","AT1G65180"
"1190","AT1G65410"
"1191","AT1G65420"
"1192","AT1G65470"
"1193","AT1G65481"
"1194","AT1G65510"
"1195","AT1G65520"
"1196","AT1G65540"
"1197","AT1G65560"
"1198","AT1G65570"
"1199","AT1G65580"
"1200","AT1G65590"
"1201","AT1G65610"
"1202","AT1G65620"
"1203","AT1G65690"
"1204","AT1G65710"
"1205","AT1G65900"
"1206","AT1G65985"
"1207","AT1G66020"
"1208","AT1G66080"
"1209","AT1G66190"
"1210","AT1G66230"
"1211","AT1G66330"
"1212","AT1G66340"
"1213","AT1G66345"
"1214","AT1G66480"
"1215","AT1G66510"
"1216","AT1G66620"
"1217","AT1G66660"
"1218","AT1G66740"
"1219","AT1G66820"
"1220","AT1G66830"
"1221","AT1G66880"
"1222","AT1G66900"
"1223","AT1G67110"
"1224","AT1G67148"
"1225","AT1G67180"
"1226","AT1G67190"
"1227","AT1G67210"
"1228","AT1G67300"
"1229","AT1G67340"
"1230","AT1G67360"
"1231","AT1G67410"
"1232","AT1G67420"
"1233","AT1G67490"
"1234","AT1G67500"
"1235","AT1G67510"
"1236","AT1G67530"
"1237","AT1G67550"
"1238","AT1G67560"
"1239","AT1G67570"
"1240","AT1G67580"
