"","WS_GC_c1.which.mclass....2...1."
"935","AT1G68190"
"936","AT1G68240"
"937","AT1G68530"
"938","AT1G68600"
"939","AT1G68700"
"940","AT1G68800"
"941","AT1G68850"
"942","AT1G68877"
"943","AT1G68935"
"944","AT1G69085"
"945","AT1G69240"
"946","AT1G69310"
"947","AT1G69470"
"948","AT1G69540"
"949","AT1G69630"
"950","AT1G69880"
"951","AT1G69990"
"952","AT1G70175"
"953","AT1G70185"
"954","AT1G70260"
"955","AT1G70270"
"956","AT1G70440"
"957","AT1G70450"
"958","AT1G70640"
"959","AT1G70720"
"960","AT1G70830"
"961","AT1G70860"
"962","AT1G70910"
"963","AT1G71140"
"964","AT1G71250"
"965","AT1G71280"
"966","AT1G71300"
"967","AT1G71370"
"968","AT1G71390"
"969","AT1G71690"
"970","AT1G71870"
"971","AT1G72100"
"972","AT1G72110"
"973","AT1G72460"
"974","AT1G72590"
"975","AT1G72620"
"976","AT1G72760"
"977","AT1G72960"
"978","AT1G73040"
"979","AT1G73050"
"980","AT1G73190"
"981","AT1G73290"
"982","AT1G73510"
"983","AT1G73560"
"984","AT1G73680"
"985","AT1G73687"
"986","AT1G73700"
"987","AT1G73810"
"988","AT1G74035"
"989","AT1G74080"
"990","AT1G74130"
"991","AT1G74205"
"992","AT1G74290"
"993","AT1G74430"
"994","AT1G74453"
"995","AT1G74456"
"996","AT1G74670"
"997","AT1G74810"
"998","AT1G74820"
"999","AT1G74830"
"1000","AT1G74870"
"1001","AT1G74880"
"1002","AT1G74890"
"1003","AT1G74990"
"1004","AT1G75160"
"1005","AT1G75166"
"1006","AT1G75240"
"1007","AT1G75360"
"1008","AT1G75430"
"1009","AT1G75945"
"1010","AT1G76062"
"1011","AT1G76190"
"1012","AT1G76210"
"1013","AT1G76230"
"1014","AT1G76430"
"1015","AT1G76465"
"1016","AT1G76530"
"1017","AT1G76750"
"1018","AT1G76892"
"1019","AT1G76965"
"1020","AT1G77090"
"1021","AT1G77120"
"1022","AT1G77145"
"1023","AT1G77160"
"1024","AT1G77210"
"1025","AT1G77520"
"1026","AT1G77525"
"1027","AT1G77730"
"1028","AT1G77790"
"1029","AT1G77932"
"1030","AT1G77950"
"1031","AT1G77980"
"1032","AT1G77992"
"1033","AT1G78030"
"1034","AT1G78160"
"1035","AT1G78206"
"1036","AT1G78230"
"1037","AT1G78390"
"1038","AT1G78410"
"1039","AT1G78460"
"1040","AT1G78470"
"1041","AT1G78478"
"1042","AT1G78500"
"1043","AT1G78720"
"1044","AT1G78750"
"1045","AT1G78840"
"1046","AT1G78990"
"1047","AT1G79100"
"1048","AT1G79130"
"1049","AT1G79160"
"1050","AT1G79170"
"1051","AT1G79250"
"1052","AT1G79400"
"1053","AT1G79485"
"1054","AT1G79780"
"1055","AT1G79860"
"1056","AT1G79915"
"1057","AT1G80330"
"1058","AT1G80390"
"1059","AT1G80470"
"1060","AT1G80525"
"1061","AT1G80580"
"1062","AT1G80625"
"1063","AT1G80970"
"1064","AT1G80980"
"1065","AT2G01023"
"1066","AT2G01280"
"1067","AT2G01310"
"1068","AT2G01360"
"1069","AT2G01422"
"1070","AT2G01500"
"1071","AT2G01580"
"1072","AT2G01610"
"1073","AT2G01755"
"1074","AT2G01810"
"1075","AT2G01905"
"1076","AT2G01960"
"1077","AT2G01990"
"1078","AT2G02010"
"1079","AT2G02060"
"1080","AT2G02061"
"1081","AT2G02147"
"1082","AT2G02320"
"1083","AT2G02340"
"1084","AT2G02380"
"1085","AT2G02490"
"1086","AT2G02640"
"1087","AT2G02720"
"1088","AT2G02741"
"1089","AT2G02850"
"1090","AT2G02990"
"1091","AT2G03020"
"1092","AT2G03210"
"1093","AT2G03230"
"1094","AT2G03250"
"1095","AT2G03290"
"1096","AT2G03310"
"1097","AT2G03370"
"1098","AT2G03410"
"1099","AT2G03460"
"1100","AT2G03720"
"1101","AT2G03821"
"1102","AT2G03855"
"1103","AT2G04005"
"1104","AT2G04065"
"1105","AT2G04125"
"1106","AT2G04137"
"1107","AT2G04145"
"1108","AT2G04190"
"1109","AT2G04220"
"1110","AT2G04255"
"1111","AT2G04265"
"1112","AT2G04285"
"1113","AT2G04378"
"1114","AT2G04380"
"1115","AT2G04395"
"1116","AT2G04405"
"1117","AT2G04435"
"1118","AT2G04455"
"1119","AT2G04495"
"1120","AT2G04515"
"1121","AT2G04535"
"1122","AT2G04545"
"1123","AT2G04555"
"1124","AT2G04715"
"1125","AT2G04725"
"1126","AT2G04800"
"1127","AT2G04840"
"1128","AT2G04955"
"1129","AT2G05070"
"1130","AT2G05095"
"1131","AT2G05145"
"1132","AT2G05155"
"1133","AT2G05185"
"1134","AT2G05245"
"1135","AT2G05270"
"1136","AT2G05350"
"1137","AT2G05370"
"1138","AT2G05420"
"1139","AT2G05505"
"1140","AT2G05520"
"1141","AT2G05585"
"1142","AT2G05635"
"1143","AT2G05665"
"1144","AT2G05675"
"1145","AT2G05753"
"1146","AT2G05765"
"1147","AT2G05825"
"1148","AT2G05895"
"1149","AT2G05945"
"1150","AT2G05965"
"1151","AT2G06225"
"1152","AT2G06345"
"1153","AT2G06365"
"1154","AT2G06405"
"1155","AT2G06525"
"1156","AT2G06615"
"1157","AT2G06655"
"1158","AT2G06765"
"1159","AT2G06865"
"1160","AT2G07015"
"1161","AT2G07042"
"1162","AT2G07045"
"1163","AT2G07345"
"1164","AT2G07435"
"1165","AT2G07485"
"1166","AT2G07621"
"1167","AT2G07625"
"1168","AT2G07628"
"1169","AT2G07632"
"1170","AT2G07637"
"1171","AT2G07638"
"1172","AT2G07643"
"1173","AT2G07648"
"1174","AT2G07654"
"1175","AT2G07656"
"1176","AT2G07659"
"1177","AT2G07661"
"1178","AT2G07667"
"1179","AT2G07669"
"1180","AT2G07673"
"1181","AT2G07676"
"1182","AT2G07691"
"1183","AT2G07702"
"1184","AT2G07705"
"1185","AT2G07714"
"1186","AT2G07722"
"1187","AT2G07728"
"1188","AT2G07732"
"1189","AT2G07738"
"1190","AT2G07768"
"1191","AT2G07772"
"1192","AT2G07775"
"1193","AT2G07795"
"1194","AT2G07827"
"1195","AT2G07875"
"1196","AT2G07950"
"1197","AT2G07965"
"1198","AT2G08020"
"1199","AT2G08025"
"1200","AT2G08060"
"1201","AT2G08205"
"1202","AT2G08235"
"1203","AT2G08275"
"1204","AT2G08295"
"1205","AT2G08315"
"1206","AT2G08320"
"1207","AT2G08330"
"1208","AT2G08350"
"1209","AT2G08375"
"1210","AT2G08405"
"1211","AT2G08430"
"1212","AT2G08445"
"1213","AT2G08450"
"1214","AT2G08455"
"1215","AT2G08460"
"1216","AT2G08470"
"1217","AT2G08475"
"1218","AT2G08505"
"1219","AT2G08530"
"1220","AT2G08575"
"1221","AT2G08595"
"1222","AT2G08610"
"1223","AT2G08640"
"1224","AT2G08675"
"1225","AT2G08680"
"1226","AT2G08695"
"1227","AT2G08700"
"1228","AT2G08730"
"1229","AT2G08740"
"1230","AT2G08765"
"1231","AT2G08770"
