"","WS_GC_c1.which.mclass....3...1."
"856","AT1G22140"
"857","AT1G22170"
"858","AT1G22180"
"859","AT1G22230"
"860","AT1G22280"
"861","AT1G22310"
"862","AT1G22330"
"863","AT1G22400"
"864","AT1G22403"
"865","AT1G22470"
"866","AT1G22500"
"867","AT1G22510"
"868","AT1G22610"
"869","AT1G22640"
"870","AT1G22660"
"871","AT1G22700"
"872","AT1G22730"
"873","AT1G22740"
"874","AT1G22770"
"875","AT1G22790"
"876","AT1G22800"
"877","AT1G22850"
"878","AT1G22860"
"879","AT1G22870"
"880","AT1G22882"
"881","AT1G22885"
"882","AT1G22940"
"883","AT1G22950"
"884","AT1G22960"
"885","AT1G22980"
"886","AT1G23000"
"887","AT1G23040"
"888","AT1G23050"
"889","AT1G23052"
"890","AT1G23120"
"891","AT1G23150"
"892","AT1G23170"
"893","AT1G23180"
"894","AT1G23205"
"895","AT1G23220"
"896","AT1G23230"
"897","AT1G23330"
"898","AT1G23340"
"899","AT1G23380"
"900","AT1G23460"
"901","AT1G23480"
"902","AT1G23530"
"903","AT1G23710"
"904","AT1G23780"
"905","AT1G23890"
"906","AT1G23900"
"907","AT1G23970"
"908","AT1G23980"
"909","AT1G24030"
"910","AT1G24040"
"911","AT1G24090"
"912","AT1G24095"
"913","AT1G24100"
"914","AT1G24120"
"915","AT1G24130"
"916","AT1G24160"
"917","AT1G24170"
"918","AT1G24190"
"919","AT1G24240"
"920","AT1G24265"
"921","AT1G24290"
"922","AT1G24300"
"923","AT1G24310"
"924","AT1G24320"
"925","AT1G24340"
"926","AT1G24350"
"927","AT1G24440"
"928","AT1G24450"
"929","AT1G24460"
"930","AT1G24490"
"931","AT1G24560"
"932","AT1G24600"
"933","AT1G24610"
"934","AT1G24625"
"935","AT1G24706"
"936","AT1G24793"
"937","AT1G25145"
"938","AT1G25250"
"939","AT1G25290"
"940","AT1G25320"
"941","AT1G25360"
"942","AT1G25375"
"943","AT1G25380"
"944","AT1G25420"
"945","AT1G25450"
"946","AT1G25470"
"947","AT1G25480"
"948","AT1G25500"
"949","AT1G25520"
"950","AT1G25540"
"951","AT1G25560"
"952","AT1G25570"
"953","AT1G25580"
"954","AT1G25682"
"955","AT1G26090"
"956","AT1G26100"
"957","AT1G26120"
"958","AT1G26150"
"959","AT1G26160"
"960","AT1G26170"
"961","AT1G26180"
"962","AT1G26190"
"963","AT1G26208"
"964","AT1G26250"
"965","AT1G26255"
"966","AT1G26260"
"967","AT1G26300"
"968","AT1G26330"
"969","AT1G26370"
"970","AT1G26440"
"971","AT1G26450"
"972","AT1G26520"
"973","AT1G26530"
"974","AT1G26620"
"975","AT1G26650"
"976","AT1G26660"
"977","AT1G26680"
"978","AT1G26690"
"979","AT1G26700"
"980","AT1G26730"
"981","AT1G26760"
"982","AT1G26800"
"983","AT1G26810"
"984","AT1G26820"
"985","AT1G26830"
"986","AT1G26870"
"987","AT1G26900"
"988","AT1G26930"
"989","AT1G26940"
"990","AT1G26960"
"991","AT1G27000"
"992","AT1G27020"
"993","AT1G27030"
"994","AT1G27050"
"995","AT1G27060"
"996","AT1G27070"
"997","AT1G27100"
"998","AT1G27120"
"999","AT1G27150"
"1000","AT1G27190"
"1001","AT1G27200"
"1002","AT1G27210"
"1003","AT1G27320"
"1004","AT1G27360"
"1005","AT1G27370"
"1006","AT1G27380"
"1007","AT1G27385"
"1008","AT1G27430"
"1009","AT1G27440"
"1010","AT1G27460"
"1011","AT1G27500"
"1012","AT1G27510"
"1013","AT1G27520"
"1014","AT1G27540"
"1015","AT1G27595"
"1016","AT1G27600"
"1017","AT1G27630"
"1018","AT1G27660"
"1019","AT1G27670"
"1020","AT1G27680"
"1021","AT1G27690"
"1022","AT1G27695"
"1023","AT1G27700"
"1024","AT1G27750"
"1025","AT1G27752"
"1026","AT1G27760"
"1027","AT1G27770"
"1028","AT1G27840"
"1029","AT1G27850"
"1030","AT1G27880"
"1031","AT1G27900"
"1032","AT1G27920"
"1033","AT1G27921"
"1034","AT1G27930"
"1035","AT1G27960"
"1036","AT1G27980"
"1037","AT1G28050"
"1038","AT1G28070"
"1039","AT1G28080"
"1040","AT1G28090"
"1041","AT1G28100"
"1042","AT1G28120"
"1043","AT1G28130"
"1044","AT1G28140"
"1045","AT1G28150"
"1046","AT1G28210"
"1047","AT1G28240"
"1048","AT1G28260"
"1049","AT1G28280"
"1050","AT1G28320"
"1051","AT1G28340"
"1052","AT1G28380"
"1053","AT1G28390"
"1054","AT1G28410"
"1055","AT1G28420"
"1056","AT1G28440"
"1057","AT1G28490"
"1058","AT1G28520"
"1059","AT1G28530"
"1060","AT1G28540"
"1061","AT1G28560"
"1062","AT1G28680"
"1063","AT1G28685"
"1064","AT1G28715"
"1065","AT1G28760"
"1066","AT1G28815"
"1067","AT1G28960"
"1068","AT1G29020"
"1069","AT1G29060"
"1070","AT1G29120"
"1071","AT1G29160"
"1072","AT1G29170"
"1073","AT1G29195"
"1074","AT1G29220"
"1075","AT1G29270"
"1076","AT1G29290"
"1077","AT1G29300"
"1078","AT1G29340"
"1079","AT1G29357"
"1080","AT1G29380"
"1081","AT1G29390"
"1082","AT1G29400"
"1083","AT1G29418"
"1084","AT1G29465"
"1085","AT1G29530"
"1086","AT1G29535"
"1087","AT1G29550"
"1088","AT1G29630"
"1089","AT1G29640"
"1090","AT1G29690"
"1091","AT1G29710"
"1092","AT1G29730"
"1093","AT1G29740"
"1094","AT1G29760"
"1095","AT1G29800"
"1096","AT1G29810"
"1097","AT1G29820"
"1098","AT1G29840"
"1099","AT1G29890"
"1100","AT1G29930"
"1101","AT1G29960"
"1102","AT1G30000"
"1103","AT1G30080"
"1104","AT1G30090"
"1105","AT1G30110"
"1106","AT1G30200"
"1107","AT1G30240"
"1108","AT1G30300"
"1109","AT1G30320"
"1110","AT1G30330"
"1111","AT1G30410"
"1112","AT1G30420"
"1113","AT1G30450"
"1114","AT1G30460"
"1115","AT1G30470"
"1116","AT1G30475"
"1117","AT1G30480"
"1118","AT1G30490"
"1119","AT1G30540"
"1120","AT1G30545"
"1121","AT1G30570"
"1122","AT1G30600"
"1123","AT1G30620"
"1124","AT1G30640"
"1125","AT1G30650"
"1126","AT1G30680"
"1127","AT1G30755"
"1128","AT1G30810"
"1129","AT1G30825"
"1130","AT1G30840"
"1131","AT1G30845"
"1132","AT1G30900"
"1133","AT1G30910"
"1134","AT1G30960"
"1135","AT1G31010"
"1136","AT1G31070"
"1137","AT1G31120"
"1138","AT1G31150"
"1139","AT1G31170"
"1140","AT1G31175"
"1141","AT1G31220"
"1142","AT1G31230"
"1143","AT1G31320"
"1144","AT1G31330"
"1145","AT1G31335"
"1146","AT1G31350"
"1147","AT1G31360"
"1148","AT1G31410"
"1149","AT1G31420"
"1150","AT1G31440"
"1151","AT1G31460"
"1152","AT1G31470"
"1153","AT1G31480"
"1154","AT1G31500"
"1155","AT1G31540"
"1156","AT1G31600"
"1157","AT1G31710"
"1158","AT1G31760"
"1159","AT1G31810"
"1160","AT1G31814"
"1161","AT1G31830"
"1162","AT1G31835"
"1163","AT1G31870"
"1164","AT1G31930"
"1165","AT1G31940"
