"","phyD_FLT_c1.which.mclass....3...1."
"715","AT1G55510"
"716","AT1G55530"
"717","AT1G55535"
"718","AT1G55690"
"719","AT1G55860"
"720","AT1G55880"
"721","AT1G55900"
"722","AT1G56140"
"723","AT1G56145"
"724","AT1G56180"
"725","AT1G56230"
"726","AT1G56290"
"727","AT1G56423"
"728","AT1G56430"
"729","AT1G56550"
"730","AT1G56590"
"731","AT1G56612"
"732","AT1G56660"
"733","AT1G56720"
"734","AT1G57610"
"735","AT1G57870"
"736","AT1G58025"
"737","AT1G58060"
"738","AT1G58070"
"739","AT1G58110"
"740","AT1G58190"
"741","AT1G58230"
"742","AT1G58250"
"743","AT1G58280"
"744","AT1G58360"
"745","AT1G58440"
"746","AT1G59520"
"747","AT1G59600"
"748","AT1G59650"
"749","AT1G59710"
"750","AT1G60080"
"751","AT1G60170"
"752","AT1G60420"
"753","AT1G60440"
"754","AT1G60490"
"755","AT1G60650"
"756","AT1G60750"
"757","AT1G60800"
"758","AT1G60810"
"759","AT1G60850"
"760","AT1G60860"
"761","AT1G60900"
"762","AT1G61010"
"763","AT1G61040"
"764","AT1G61140"
"765","AT1G61580"
"766","AT1G61660"
"767","AT1G61670"
"768","AT1G61690"
"769","AT1G61730"
"770","AT1G61795"
"771","AT1G61820"
"772","AT1G61840"
"773","AT1G61900"
"774","AT1G61990"
"775","AT1G62020"
"776","AT1G62045"
"777","AT1G62300"
"778","AT1G62330"
"779","AT1G62430"
"780","AT1G62440"
"781","AT1G62510"
"782","AT1G62570"
"783","AT1G62600"
"784","AT1G62740"
"785","AT1G62770"
"786","AT1G62800"
"787","AT1G62850"
"788","AT1G62880"
"789","AT1G62980"
"790","AT1G63010"
"791","AT1G63050"
"792","AT1G63090"
"793","AT1G63100"
"794","AT1G63170"
"795","AT1G63270"
"796","AT1G63300"
"797","AT1G63430"
"798","AT1G63440"
"799","AT1G63470"
"800","AT1G63500"
"801","AT1G63640"
"802","AT1G63700"
"803","AT1G63720"
"804","AT1G63850"
"805","AT1G63900"
"806","AT1G63970"
"807","AT1G63990"
"808","AT1G64140"
"809","AT1G64280"
"810","AT1G64350"
"811","AT1G64385"
"812","AT1G64440"
"813","AT1G64740"
"814","AT1G64990"
"815","AT1G65000"
"816","AT1G65020"
"817","AT1G65030"
"818","AT1G65032"
"819","AT1G65040"
"820","AT1G65260"
"821","AT1G65280"
"822","AT1G65430"
"823","AT1G65580"
"824","AT1G65590"
"825","AT1G65650"
"826","AT1G65660"
"827","AT1G65690"
"828","AT1G65840"
"829","AT1G66070"
"830","AT1G66250"
"831","AT1G66340"
"832","AT1G66430"
"833","AT1G66500"
"834","AT1G66530"
"835","AT1G66620"
"836","AT1G66670"
"837","AT1G66740"
"838","AT1G66890"
"839","AT1G67060"
"840","AT1G67080"
"841","AT1G67105"
"842","AT1G67120"
"843","AT1G67140"
"844","AT1G67300"
"845","AT1G67320"
"846","AT1G67325"
"847","AT1G67340"
"848","AT1G67360"
"849","AT1G67365"
"850","AT1G67550"
"851","AT1G67580"
"852","AT1G67620"
"853","AT1G67750"
"854","AT1G67800"
"855","AT1G67870"
"856","AT1G67920"
"857","AT1G67930"
"858","AT1G67950"
"859","AT1G68020"
"860","AT1G68050"
"861","AT1G68100"
"862","AT1G68230"
"863","AT1G68370"
"864","AT1G68410"
"865","AT1G68440"
"866","AT1G68550"
"867","AT1G68580"
"868","AT1G68660"
"869","AT1G68670"
"870","AT1G68710"
"871","AT1G68720"
"872","AT1G68760"
"873","AT1G68810"
"874","AT1G68820"
"875","AT1G68920"
"876","AT1G68990"
"877","AT1G69010"
"878","AT1G69030"
"879","AT1G69070"
"880","AT1G69250"
"881","AT1G69330"
"882","AT1G69340"
"883","AT1G69390"
"884","AT1G69420"
"885","AT1G69520"
"886","AT1G69530"
"887","AT1G69680"
"888","AT1G69740"
"889","AT1G69770"
"890","AT1G69780"
"891","AT1G69810"
"892","AT1G70060"
"893","AT1G70150"
"894","AT1G70180"
"895","AT1G70280"
"896","AT1G70300"
"897","AT1G70340"
"898","AT1G70370"
"899","AT1G70480"
"900","AT1G70530"
"901","AT1G70570"
"902","AT1G70590"
"903","AT1G70670"
"904","AT1G70730"
"905","AT1G70810"
"906","AT1G70900"
"907","AT1G70990"
"908","AT1G71020"
"909","AT1G71040"
"910","AT1G71080"
"911","AT1G71090"
"912","AT1G71130"
"913","AT1G71170"
"914","AT1G71180"
"915","AT1G71270"
"916","AT1G71350"
"917","AT1G71400"
"918","AT1G71410"
"919","AT1G71430"
"920","AT1G71692"
"921","AT1G71695"
"922","AT1G71696"
"923","AT1G71710"
"924","AT1G71800"
"925","AT1G71820"
"926","AT1G71830"
"927","AT1G71865"
"928","AT1G71900"
"929","AT1G71940"
"930","AT1G72010"
"931","AT1G72040"
"932","AT1G72090"
"933","AT1G72175"
"934","AT1G72230"
"935","AT1G72310"
"936","AT1G72320"
"937","AT1G72340"
"938","AT1G72410"
"939","AT1G72416"
"940","AT1G72430"
"941","AT1G72440"
"942","AT1G72480"
"943","AT1G72650"
"944","AT1G72700"
"945","AT1G72740"
"946","AT1G72770"
"947","AT1G72790"
"948","AT1G72800"
"949","AT1G72830"
"950","AT1G72880"
"951","AT1G73060"
"952","AT1G73170"
"953","AT1G73250"
"954","AT1G73300"
"955","AT1G73350"
"956","AT1G73380"
"957","AT1G73430"
"958","AT1G73500"
"959","AT1G73655"
"960","AT1G73670"
"961","AT1G73790"
"962","AT1G73805"
"963","AT1G73820"
"964","AT1G73980"
"965","AT1G74020"
"966","AT1G74090"
"967","AT1G74260"
"968","AT1G74280"
"969","AT1G74520"
"970","AT1G74530"
"971","AT1G74720"
"972","AT1G74770"
"973","AT1G74940"
"974","AT1G74950"
"975","AT1G74970"
"976","AT1G75020"
"977","AT1G75130"
"978","AT1G75140"
"979","AT1G75170"
"980","AT1G75230"
"981","AT1G75280"
"982","AT1G75295"
"983","AT1G75310"
"984","AT1G75335"
"985","AT1G75340"
"986","AT1G75410"
"987","AT1G75670"
"988","AT1G75710"
"989","AT1G75785"
"990","AT1G75810"
"991","AT1G75850"
"992","AT1G75860"
"993","AT1G75980"
"994","AT1G75990"
"995","AT1G76040"
"996","AT1G76060"
"997","AT1G76140"
"998","AT1G76240"
"999","AT1G76260"
"1000","AT1G76310"
"1001","AT1G76340"
"1002","AT1G76440"
"1003","AT1G76500"
"1004","AT1G76510"
"1005","AT1G76550"
"1006","AT1G76660"
"1007","AT1G76700"
"1008","AT1G76760"
"1009","AT1G76850"
"1010","AT1G76878"
"1011","AT1G76880"
"1012","AT1G76890"
"1013","AT1G76940"
"1014","AT1G76970"
"1015","AT1G77020"
"1016","AT1G77030"
"1017","AT1G77140"
"1018","AT1G77220"
"1019","AT1G77300"
"1020","AT1G77420"
"1021","AT1G77470"
"1022","AT1G77510"
"1023","AT1G77550"
"1024","AT1G77580"
"1025","AT1G77590"
"1026","AT1G77660"
"1027","AT1G77670"
"1028","AT1G77800"
"1029","AT1G78100"
"1030","AT1G78110"
"1031","AT1G78240"
"1032","AT1G78260"
"1033","AT1G78310"
"1034","AT1G78600"
"1035","AT1G78620"
"1036","AT1G78800"
"1037","AT1G78895"
"1038","AT1G79000"
"1039","AT1G79040"
"1040","AT1G79060"
"1041","AT1G79070"
"1042","AT1G79090"
"1043","AT1G79200"
"1044","AT1G79260"
"1045","AT1G79270"
"1046","AT1G79430"
"1047","AT1G79450"
"1048","AT1G79500"
"1049","AT1G79529"
"1050","AT1G79710"
"1051","AT1G79730"
"1052","AT1G79790"
"1053","AT1G79810"
"1054","AT1G79820"
"1055","AT1G79850"
"1056","AT1G79880"
"1057","AT1G79900"
"1058","AT1G79920"
"1059","AT1G80000"
"1060","AT1G80245"
"1061","AT1G80260"
"1062","AT1G80270"
"1063","AT1G80280"
"1064","AT1G80290"
"1065","AT1G80350"
"1066","AT1G80370"
"1067","AT1G80400"
"1068","AT1G80420"
"1069","AT1G80480"
"1070","AT1G80490"
"1071","AT1G80570"
"1072","AT1G80600"
"1073","AT1G80610"
"1074","AT1G80690"
"1075","AT1G80720"
"1076","AT1G80890"
"1077","AT1G80910"
"1078","AT1G80940"
"1079","AT1G80950"
"1080","AT2G01020"
"1081","AT2G01021"
"1082","AT2G01070"
"1083","AT2G01110"
"1084","AT2G01150"
"1085","AT2G01180"
"1086","AT2G01190"
"1087","AT2G01260"
"1088","AT2G01410"
"1089","AT2G01505"
"1090","AT2G01630"
"1091","AT2G01640"
"1092","AT2G01650"
"1093","AT2G01680"
"1094","AT2G01690"
"1095","AT2G01735"
"1096","AT2G01820"
"1097","AT2G01830"
"1098","AT2G01850"
"1099","AT2G01890"
"1100","AT2G01910"
"1101","AT2G01930"
"1102","AT2G01940"
"1103","AT2G02090"
"1104","AT2G02180"
"1105","AT2G02220"
"1106","AT2G02360"
"1107","AT2G02370"
"1108","AT2G02480"
"1109","AT2G02560"
"1110","AT2G02570"
"1111","AT2G02630"
"1112","AT2G02680"
"1113","AT2G02730"
"1114","AT2G02740"
"1115","AT2G02780"
"1116","AT2G02790"
"1117","AT2G02810"
"1118","AT2G02820"
"1119","AT2G02860"
"1120","AT2G02970"
"1121","AT2G03150"
"1122","AT2G03220"
"1123","AT2G03390"
"1124","AT2G03730"
"1125","AT2G03780"
"1126","AT2G03830"
"1127","AT2G04025"
"1128","AT2G04160"
"1129","AT2G04305"
"1130","AT2G04340"
"1131","AT2G04360"
"1132","AT2G04400"
"1133","AT2G04550"
"1134","AT2G04755"
"1135","AT2G04845"
"1136","AT2G04880"
"1137","AT2G04940"
"1138","AT2G05170"
"1139","AT2G05230"
"1140","AT2G05260"
"1141","AT2G05590"
"1142","AT2G05940"
"1143","AT2G06010"
"1144","AT2G06210"
"1145","AT2G07180"
"1146","AT2G07475"
"1147","AT2G07690"
"1148","AT2G09225"
"1149","AT2G09785"
"1150","AT2G09795"
"1151","AT2G10950"
"1152","AT2G11520"
"1153","AT2G12400"
"1154","AT2G13100"
"1155","AT2G13370"
"1156","AT2G13540"
"1157","AT2G13650"
"1158","AT2G14120"
"1159","AT2G14255"
"1160","AT2G14260"
"1161","AT2G14740"
"1162","AT2G14750"
"1163","AT2G14820"
"1164","AT2G14825"
"1165","AT2G14880"
"1166","AT2G15230"
"1167","AT2G15270"
"1168","AT2G15280"
"1169","AT2G15320"
"1170","AT2G15430"
"1171","AT2G15690"
"1172","AT2G15695"
"1173","AT2G15830"
"1174","AT2G15860"
"1175","AT2G16280"
"1176","AT2G16370"
"1177","AT2G16460"
"1178","AT2G16485"
"1179","AT2G16595"
"1180","AT2G16660"
"1181","AT2G16700"
"1182","AT2G16740"
"1183","AT2G16790"
"1184","AT2G16900"
"1185","AT2G16950"
"1186","AT2G16990"
"1187","AT2G17020"
"1188","AT2G17070"
"1189","AT2G17190"
"1190","AT2G17230"
"1191","AT2G17250"
"1192","AT2G17265"
"1193","AT2G17320"
"1194","AT2G17340"
"1195","AT2G17350"
"1196","AT2G17370"
"1197","AT2G17410"
"1198","AT2G17500"
"1199","AT2G17510"
"1200","AT2G17530"
"1201","AT2G17540"
"1202","AT2G17570"
"1203","AT2G17630"
"1204","AT2G17705"
"1205","AT2G17760"
"1206","AT2G17790"
"1207","AT2G17840"
"1208","AT2G17870"
"1209","AT2G17930"
"1210","AT2G17980"
"1211","AT2G18150"
"1212","AT2G18170"
"1213","AT2G18193"
"1214","AT2G18220"
"1215","AT2G18250"
"1216","AT2G18290"
"1217","AT2G18410"
"1218","AT2G18510"
"1219","AT2G18630"
"1220","AT2G18690"
"1221","AT2G18700"
"1222","AT2G18710"
"1223","AT2G18730"
"1224","AT2G18735"
"1225","AT2G18770"
"1226","AT2G18840"
"1227","AT2G18860"
"1228","AT2G18876"
"1229","AT2G18900"
"1230","AT2G18990"
"1231","AT2G19160"
"1232","AT2G19180"
"1233","AT2G19385"
"1234","AT2G19430"
"1235","AT2G19450"
"1236","AT2G19460"
"1237","AT2G19470"
"1238","AT2G19560"
"1239","AT2G19570"
