"","X","WS_GC_c1.which.mclass....5...1."
"2114",2114,"AT2G44450"
"4134",4134,"AT5G02150"
"4305",4305,"AT5G10300"
"3758",3758,"AT4G26400"
"1563",1563,"AT2G17790"
"5141",5141,"AT5G57560"
"2541",2541,"AT3G13360"
"1520",1520,"AT2G15860"
"2851",2851,"AT3G27100"
"5048",5048,"AT5G53120"
"4789",4789,"AT5G40970"
"972",972,"AT1G60080"
"3566",3566,"AT4G16340"
"2440",2440,"AT3G10110"
"1496",1496,"AT2G13540"
"4998",4998,"AT5G50660"
"4399",4399,"AT5G14050"
"3276",3276,"AT3G62720"
"860",860,"AT1G51950"
"691",691,"AT1G32127"
"246",246,"AT1G10180"
"5400",5400,"AT5G67390"
"520",520,"AT1G22440"
"4487",4487,"AT5G17910"
"3226",3226,"AT3G60500"
"1580",1580,"AT2G18670"
"3284",3284,"AT3G62940"
"2236",2236,"AT3G01995"
"2389",2389,"AT3G07780"
"5246",5246,"AT5G61880"
"774",774,"AT1G45130"
"2885",2885,"AT3G29200"
"1294",1294,"AT1G76890"
"1715",1715,"AT2G25735"
"3951",3951,"AT4G34260"
"331",331,"AT1G13530"
"4867",4867,"AT5G44560"
"2895",2895,"AT3G30350"
"4642",4642,"AT5G25440"
"2317",2317,"AT3G05010"
"2509",2509,"AT3G12500"
"2879",2879,"AT3G29034"
"4784",4784,"AT5G40690"
"4466",4466,"AT5G16930"
"1569",1569,"AT2G18030"
"5191",5191,"AT5G59180"
"948",948,"AT1G56660"
"2231",2231,"AT3G01820"
"4139",4139,"AT5G02420"
"4965",4965,"AT5G49220"
"3973",3973,"AT4G35020"
"208",208,"AT1G08650"
"2738",2738,"AT3G21420"
"1598",1598,"AT2G19430"
"4520",4520,"AT5G19150"
"2045",2045,"AT2G40940"
"2221",2221,"AT3G01310"
"4203",4203,"AT5G05500"
"2935",2935,"AT3G46640"
"675",675,"AT1G30900"
"40",40,"AT1G02680"
"894",894,"AT1G53830"
"1955",1955,"AT2G37060"
"1901",1901,"AT2G34410"
"1423",1423,"AT2G02470"
"4456",4456,"AT5G16620"
