"","WS_GC_c1.which.mclass....5...1."
"974","AT1G60170"
"975","AT1G60200"
"976","AT1G60660"
"977","AT1G60680"
"978","AT1G60710"
"979","AT1G60730"
"980","AT1G60850"
"981","AT1G60860"
"982","AT1G60900"
"983","AT1G60940"
"984","AT1G60950"
"985","AT1G60960"
"986","AT1G60995"
"987","AT1G61010"
"988","AT1G61040"
"989","AT1G61100"
"990","AT1G61150"
"991","AT1G61590"
"992","AT1G61620"
"993","AT1G61670"
"994","AT1G61690"
"995","AT1G61730"
"996","AT1G61740"
"997","AT1G61750"
"998","AT1G61770"
"999","AT1G61795"
"1000","AT1G61820"
"1001","AT1G61840"
"1002","AT1G61890"
"1003","AT1G62020"
"1004","AT1G62180"
"1005","AT1G62300"
"1006","AT1G62330"
"1007","AT1G62390"
"1008","AT1G62422"
"1009","AT1G62430"
"1010","AT1G62570"
"1011","AT1G62640"
"1012","AT1G62660"
"1013","AT1G62730"
"1014","AT1G62740"
"1015","AT1G62770"
"1016","AT1G62790"
"1017","AT1G62820"
"1018","AT1G62880"
"1019","AT1G63010"
"1020","AT1G63050"
"1021","AT1G63100"
"1022","AT1G63110"
"1023","AT1G63170"
"1024","AT1G63245"
"1025","AT1G63290"
"1026","AT1G63300"
"1027","AT1G63310"
"1028","AT1G63420"
"1029","AT1G63430"
"1030","AT1G63470"
"1031","AT1G63500"
"1032","AT1G63640"
"1033","AT1G63690"
"1034","AT1G63700"
"1035","AT1G63800"
"1036","AT1G63810"
"1037","AT1G63830"
"1038","AT1G63970"
"1039","AT1G64060"
"1040","AT1G64200"
"1041","AT1G64220"
"1042","AT1G64330"
"1043","AT1G64350"
"1044","AT1G64385"
"1045","AT1G64390"
"1046","AT1G64440"
"1047","AT1G64460"
"1048","AT1G64530"
"1049","AT1G64600"
"1050","AT1G64740"
"1051","AT1G64850"
"1052","AT1G64990"
"1053","AT1G65000"
"1054","AT1G65020"
"1055","AT1G65030"
"1056","AT1G65220"
"1057","AT1G65260"
"1058","AT1G65270"
"1059","AT1G65280"
"1060","AT1G65295"
"1061","AT1G65440"
"1062","AT1G65650"
"1063","AT1G65660"
"1064","AT1G65700"
"1065","AT1G65840"
"1066","AT1G66070"
"1067","AT1G66150"
"1068","AT1G66250"
"1069","AT1G66260"
"1070","AT1G66430"
"1071","AT1G66530"
"1072","AT1G66670"
"1073","AT1G66680"
"1074","AT1G66760"
"1075","AT1G66900"
"1076","AT1G67030"
"1077","AT1G67060"
"1078","AT1G67080"
"1079","AT1G67105"
"1080","AT1G67120"
"1081","AT1G67140"
"1082","AT1G67150"
"1083","AT1G67280"
"1084","AT1G67320"
"1085","AT1G67325"
"1086","AT1G67340"
"1087","AT1G67360"
"1088","AT1G67590"
"1089","AT1G67620"
"1090","AT1G67630"
"1091","AT1G67680"
"1092","AT1G67810"
"1093","AT1G67930"
"1094","AT1G67950"
"1095","AT1G68060"
"1096","AT1G68070"
"1097","AT1G68100"
"1098","AT1G68130"
"1099","AT1G68150"
"1100","AT1G68220"
"1101","AT1G68230"
"1102","AT1G68370"
"1103","AT1G68410"
"1104","AT1G68440"
"1105","AT1G68490"
"1106","AT1G68550"
"1107","AT1G68580"
"1108","AT1G68660"
"1109","AT1G68670"
"1110","AT1G68720"
"1111","AT1G68760"
"1112","AT1G68810"
"1113","AT1G68820"
"1114","AT1G68825"
"1115","AT1G68920"
"1116","AT1G68990"
"1117","AT1G69010"
"1118","AT1G69030"
"1119","AT1G69040"
"1120","AT1G69220"
"1121","AT1G69250"
"1122","AT1G69252"
"1123","AT1G69330"
"1124","AT1G69340"
"1125","AT1G69390"
"1126","AT1G69420"
"1127","AT1G69640"
"1128","AT1G69740"
"1129","AT1G69750"
"1130","AT1G69770"
"1131","AT1G69780"
"1132","AT1G69840"
"1133","AT1G69850"
"1134","AT1G69960"
"1135","AT1G69980"
