"","col_FLT_c1.which.mclass....9...1."
"883","AT3G54120"
"884","AT3G54140"
"885","AT3G54630"
"886","AT3G54780"
"887","AT3G54980"
"888","AT3G55220"
"889","AT3G55320"
"890","AT3G55640"
"891","AT3G55760"
"892","AT3G55950"
"893","AT3G56030"
"894","AT3G56040"
"895","AT3G56060"
"896","AT3G56440"
"897","AT3G56450"
"898","AT3G57062"
"899","AT3G57580"
"900","AT3G57830"
"901","AT3G57965"
"902","AT3G57980"
"903","AT3G58650"
"904","AT3G58690"
"905","AT3G58800"
"906","AT3G58900"
"907","AT3G59040"
"908","AT3G59330"
"909","AT3G59410"
"910","AT3G59430"
"911","AT3G59550"
"912","AT3G60070"
"913","AT3G60110"
"914","AT3G60310"
"915","AT3G60400"
"916","AT3G60510"
"917","AT3G60660"
"918","AT3G60680"
"919","AT3G61320"
"920","AT3G61360"
"921","AT3G61780"
"922","AT3G62050"
"923","AT3G62080"
"924","AT3G62470"
"925","AT3G62540"
"926","AT3G63280"
"927","AT3G66652"
"928","AT4G00040"
"929","AT4G00370"
"930","AT4G00380"
"931","AT4G00520"
"932","AT4G00650"
"933","AT4G00750"
"934","AT4G00760"
"935","AT4G00900"
"936","AT4G00980"
"937","AT4G01037"
"938","AT4G01270"
"939","AT4G01440"
"940","AT4G01600"
"941","AT4G01740"
"942","AT4G01800"
"943","AT4G01840"
"944","AT4G01925"
"945","AT4G02040"
"946","AT4G02660"
"947","AT4G02710"
"948","AT4G02810"
"949","AT4G02900"
"950","AT4G03115"
"951","AT4G03150"
"952","AT4G03230"
"953","AT4G03340"
"954","AT4G03440"
"955","AT4G03610"
"956","AT4G03985"
"957","AT4G04180"
"958","AT4G04220"
"959","AT4G04221"
"960","AT4G04435"
"961","AT4G04670"
"962","AT4G04740"
"963","AT4G04880"
"964","AT4G04960"
"965","AT4G05040"
"966","AT4G05170"
"967","AT4G05815"
"968","AT4G06135"
"969","AT4G06598"
"970","AT4G06685"
"971","AT4G08480"
"972","AT4G08700"
"973","AT4G09815"
"974","AT4G09950"
"975","AT4G10400"
"976","AT4G10420"
"977","AT4G11090"
"978","AT4G11130"
"979","AT4G11330"
"980","AT4G11530"
"981","AT4G11840"
"982","AT4G11920"
"983","AT4G12010"
"984","AT4G12540"
"985","AT4G12620"
"986","AT4G12750"
"987","AT4G13100"
"988","AT4G13400"
"989","AT4G13750"
"990","AT4G13870"
"991","AT4G14050"
"992","AT4G14096"
"993","AT4G14150"
"994","AT4G14190"
"995","AT4G14210"
"996","AT4G14490"
"997","AT4G14605"
"998","AT4G14640"
"999","AT4G14650"
"1000","AT4G14695"
"1001","AT4G14840"
"1002","AT4G15070"
"1003","AT4G15350"
"1004","AT4G15370"
"1005","AT4G15510"
"1006","AT4G15530"
"1007","AT4G15820"
"1008","AT4G15960"
"1009","AT4G16070"
"1010","AT4G16130"
"1011","AT4G16250"
"1012","AT4G16920"
"1013","AT4G17000"
"1014","AT4G17360"
"1015","AT4G17370"
"1016","AT4G17540"
"1017","AT4G17895"
"1018","AT4G18020"
"1019","AT4G18270"
"1020","AT4G18520"
"1021","AT4G18596"
"1022","AT4G18640"
"1023","AT4G18820"
"1024","AT4G18975"
"1025","AT4G19010"
"1026","AT4G19060"
"1027","AT4G19400"
"1028","AT4G19440"
"1029","AT4G19500"
"1030","AT4G19830"
"1031","AT4G19865"
"1032","AT4G19985"
"1033","AT4G20140"
"1034","AT4G20760"
"1035","AT4G21060"
"1036","AT4G21070"
"1037","AT4G21170"
"1038","AT4G21190"
"1039","AT4G21220"
"1040","AT4G21320"
"1041","AT4G21350"
"1042","AT4G21430"
"1043","AT4G21705"
"1044","AT4G21890"
"1045","AT4G22270"
"1046","AT4G22463"
"1047","AT4G22570"
"1048","AT4G22690"
"1049","AT4G22900"
"1050","AT4G22910"
"1051","AT4G22970"
"1052","AT4G23040"
"1053","AT4G23420"
"1054","AT4G23500"
"1055","AT4G23900"
"1056","AT4G23940"
"1057","AT4G23950"
"1058","AT4G24080"
"1059","AT4G24175"
"1060","AT4G24710"
"1061","AT4G24790"
"1062","AT4G25120"
"1063","AT4G25180"
"1064","AT4G25440"
"1065","AT4G25600"
"1066","AT4G25610"
"1067","AT4G25650"
"1068","AT4G25707"
"1069","AT4G25760"
"1070","AT4G25800"
"1071","AT4G26090"
"1072","AT4G26095"
"1073","AT4G26140"
"1074","AT4G26270"
"1075","AT4G26500"
"1076","AT4G26555"
"1077","AT4G26700"
"1078","AT4G26890"
"1079","AT4G26965"
"1080","AT4G27480"
"1081","AT4G27630"
"1082","AT4G27852"
"1083","AT4G28010"
"1084","AT4G28320"
"1085","AT4G28630"
"1086","AT4G28640"
"1087","AT4G28840"
"1088","AT4G28890"
"1089","AT4G28950"
"1090","AT4G29540"
"1091","AT4G29560"
"1092","AT4G29610"
"1093","AT4G29700"
"1094","AT4G29730"
"1095","AT4G29750"
"1096","AT4G29860"
"1097","AT4G30000"
"1098","AT4G30110"
"1099","AT4G30975"
"1100","AT4G31140"
"1101","AT4G31248"
"1102","AT4G31250"
"1103","AT4G31330"
"1104","AT4G31370"
"1105","AT4G31400"
"1106","AT4G31730"
"1107","AT4G32200"
"1108","AT4G32208"
"1109","AT4G32300"
"1110","AT4G32320"
"1111","AT4G32350"
"1112","AT4G32360"
"1113","AT4G32450"
"1114","AT4G32700"
"1115","AT4G32710"
"1116","AT4G32780"
"1117","AT4G32790"
"1118","AT4G32820"
"1119","AT4G32920"
"1120","AT4G33490"
"1121","AT4G33500"
"1122","AT4G33770"
"1123","AT4G34020"
"1124","AT4G34090"
"1125","AT4G34590"
"1126","AT4G34740"
"1127","AT4G34950"
"1128","AT4G34990"
"1129","AT4G35560"
"1130","AT4G35740"
"1131","AT4G35870"
"1132","AT4G36030"
"1133","AT4G36032"
"1134","AT4G36050"
"1135","AT4G36120"
"1136","AT4G36580"
"1137","AT4G36840"
"1138","AT4G36945"
"1139","AT4G37200"
"1140","AT4G37240"
"1141","AT4G37370"
"1142","AT4G37550"
"1143","AT4G37670"
"1144","AT4G37850"
"1145","AT4G37890"
"1146","AT4G38020"
"1147","AT4G38120"
"1148","AT4G38170"
"1149","AT4G38380"
"1150","AT4G38730"
"1151","AT4G38910"
"1152","AT4G38940"
"1153","AT4G38960"
"1154","AT4G39030"
"1155","AT4G39190"
"1156","AT4G39210"
"1157","AT4G39470"
"1158","AT4G39560"
"1159","AT4G39570"
"1160","AT4G39600"
"1161","AT4G39620"
"1162","AT4G39795"
"1163","AT4G40000"
"1164","AT5G01095"
"1165","AT5G01170"
"1166","AT5G01330"
"1167","AT5G01510"
