"","col_FLT_c1.which.mclass....9...1."
"1207","AT2G25480"
"1208","AT2G25650"
"1209","AT2G25660"
"1210","AT2G25730"
"1211","AT2G25790"
"1212","AT2G25880"
"1213","AT2G25950"
"1214","AT2G25964"
"1215","AT2G26060"
"1216","AT2G26110"
"1217","AT2G26140"
"1218","AT2G26170"
"1219","AT2G26190"
"1220","AT2G26210"
"1221","AT2G26260"
"1222","AT2G26430"
"1223","AT2G26460"
"1224","AT2G26510"
"1225","AT2G26590"
"1226","AT2G26650"
"1227","AT2G26680"
"1228","AT2G26700"
"1229","AT2G26760"
"1230","AT2G26980"
"1231","AT2G26990"
"1232","AT2G27000"
"1233","AT2G27040"
"1234","AT2G27050"
"1235","AT2G27100"
"1236","AT2G27130"
"1237","AT2G27170"
"1238","AT2G27350"
"1239","AT2G27370"
"1240","AT2G27400"
