"","X","col_FLT_c1.which.mclass....5...1."
"763",763,"AT1G64400"
"799",799,"AT1G66660"
"3032",3032,"AT5G16160"
"654",654,"AT1G56345"
"441",441,"AT1G28080"
"1408",1408,"AT2G36270"
"1811",1811,"AT3G14920"
"911",911,"AT1G73320"
"1919",1919,"AT3G24463"
"921",921,"AT1G73770"
"1632",1632,"AT3G02930"
"1128",1128,"AT2G15680"
"1141",1141,"AT2G16970"
"1664",1664,"AT3G04750"
"1248",1248,"AT2G24520"
"3587",3587,"AT5G63595"
"2464",2464,"AT4G15510"
"236",236,"AT1G12860"
"1023",1023,"AT2G01290"
"349",349,"AT1G19397"
"238",238,"AT1G13050"
"2149",2149,"AT3G55330"
"3023",3023,"AT5G15210"
"3535",3535,"AT5G59845"
"170",170,"AT1G09195"
"3397",3397,"AT5G50450"
"2524",2524,"AT4G19830"
"1580",1580,"AT2G46760"
"424",424,"AT1G27120"
"1859",1859,"AT3G18670"
"3007",3007,"AT5G14100"
"179",179,"AT1G09600"
"244",244,"AT1G13420"
"3474",3474,"AT5G55780"
"2084",2084,"AT3G50040"
"3481",3481,"AT5G56230"
"1681",1681,"AT3G05750"
"1613",1613,"AT3G01895"
"2261",2261,"AT4G00380"
"184",184,"AT1G09710"
"54",54,"AT1G04100"
"2342",2342,"AT4G05210"
"1502",1502,"AT2G42170"
"3683",3683,"ATMG01170"
"2783",2783,"AT4G38170"
"2824",2824,"AT5G01510"
"3296",3296,"AT5G43870"
"2639",2639,"AT4G27700"
"3150",3150,"AT5G25140"
"1413",1413,"AT2G36730"
"348",348,"AT1G19380"
"3115",3115,"AT5G23030"
"1755",1755,"AT3G10710"
"3065",3065,"AT5G18360"
"2407",2407,"AT4G12010"
"1430",1430,"AT2G37560"
"3608",3608,"AT5G65400"
"3430",3430,"AT5G52545"
"1314",1314,"AT2G30670"
"362",362,"AT1G20810"
"1776",1776,"AT3G12580"
"168",168,"AT1G09050"
"2569",2569,"AT4G22758"
"2540",2540,"AT4G21220"
"410",410,"AT1G26130"
"3099",3099,"AT5G20870"
