RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT3G26690,366.3501331,435.4278595,320.6278389,176.1997508,444.2952717,359.1982086,242.6377391,447.5774419,290.4809157,88.46846263,196.0437168,240.0569847
AT3G26720,218.6830973,315.1381644,259.7483319,289.4824623,339.5232986,386.0449421,499.4258229,425.0710818,552.5118187,252.3116714,224.2884295,300.8312336
AT3G26730,295.4875585,270.3887596,268.4425599,304.7486913,279.5076586,264.9984581,358.4313861,196.300301,267.0398045,291.7859273,306.1475114,339.5230578
AT3G26760,380.4698889,402.7982088,417.5641604,466.3028877,589.6893516,724.0765971,559.355641,736.7480447,442.3740106,301.4785089,456.2381842,305.2445972
AT3G26810,423.2766859,401.8940093,417.0874011,535.9162073,566.937143,466.6974916,594.0570327,659.8920407,560.0119103,465.067078,495.5945218,436.5922143
AT3G26935,380.8100707,268.8169392,336.2734069,384.9784507,436.8005785,426.0633924,499.9951438,371.5898818,429.9905815,336.2337191,377.2768543,278.7199944
AT3G26980,349.9405311,462.1908071,378.0429519,293.6881501,499.1317464,370.20742,357.7517667,419.0577781,432.0887493,278.2435867,278.9447777,331.8982407
AT3G27080,357.6869951,507.2682357,401.2334404,520.6850255,462.8464878,397.5489901,294.7692547,338.3846123,314.3267654,504.6760189,528.2231014,472.0344372
AT3G27100,326.9415515,438.0134781,355.0463301,266.5944235,295.5912985,264.3417564,208.5409065,375.70378,216.088717,247.9462684,210.6665372,279.4204507
AT3G27190,410.4566386,519.9570227,451.5405923,406.4789703,399.7773321,350.3018872,329.5653045,411.287876,304.9778008,357.8159124,354.360312,375.0181459
AT3G27200,243.4360642,261.4039218,199.6568085,61.14784673,184.3771278,261.6118225,1.839726552,183.5162671,210.6139474,68.11291005,188.6577776,139.2258545
AT3G27230,483.297132,351.1488744,438.1036069,568.0362887,315.7429546,408.4975677,362.6279749,351.6448585,406.8150507,576.1732623,649.5822361,401.6339862
AT3G27280,143.0062569,123.0078124,194.2663882,281.4277621,194.6647311,147.2702893,98.01641187,131.0249194,134.3916593,298.9033842,412.0092173,345.1446829
AT3G27310,321.8812832,354.826296,339.7751198,275.2466419,301.9963169,225.8569303,286.9540204,338.4927647,268.4813963,365.3213846,206.5219295,298.0240221
AT3G27340,212.8965397,364.4553055,291.2110047,233.1092537,294.8187051,205.8884049,227.1872338,278.7178418,286.8271729,286.4880079,260.2439533,259.5894449
AT3G27350,188.7183518,254.3861347,227.7490024,168.6532808,222.5185552,249.6513794,205.1222274,304.5376394,209.9258561,151.5687937,176.0177457,110.7383318
AT3G27830,362.4444669,361.2773512,311.0751979,322.1308777,265.0487859,257.3644036,303.8512813,269.8752658,291.3334626,345.761599,299.2824003,294.0168387
AT3G27884,182.0979235,298.511924,233.7980533,33.15152718,277.0612832,280.9896508,37.55227467,340.9706762,112.9064193,40.01252659,76.25373098,196.8951688
AT3G28340,160.1945812,202.3017336,229.4392034,174.6373004,164.5846108,188.7845902,96.83278252,711.2223429,153.0876422,132.5706949,110.9269326,128.0705263
AT3G28510,610.313165,107.0300453,422.4576152,88.22326581,218.3766073,334.3257718,9.12759094,56.62850489,65.77629196,0,58.84618875,215.1787121
AT3G28690,218.9046358,339.5355155,232.7526654,190.3287457,258.0957211,312.6661103,196.6207178,225.3841979,254.5743493,199.0662192,205.1097319,210.2775013
AT3G28715,538.0139695,549.5164833,599.1313358,346.4805081,414.1266576,461.8398484,384.0145332,605.7839715,495.1009024,354.9871358,295.1045921,260.1951198
AT3G28720,256.6847616,184.0240171,194.0799416,347.1068615,249.8707118,230.4304474,322.0068122,155.0510102,298.9336068,371.5264356,393.7072729,284.9526082
AT3G28730,309.7220255,183.9205847,272.9363206,308.9152811,274.4305056,272.680836,301.8837258,228.5349009,225.6793212,329.6297946,346.6237588,307.4254912
AT3G28940,372.3589369,415.5178643,369.7970891,183.0510477,327.8392656,236.3780713,126.3556911,472.6163985,282.2656763,97.43080811,162.7295764,162.8623758
AT3G28950,422.1231977,338.7412418,362.9703624,167.882973,340.7574657,362.6515439,228.2686284,334.2556652,313.5202583,178.5277695,268.2287407,261.0284246
AT3G29034,412.1669881,696.7800719,467.0413567,171.2617872,340.6912092,268.1382217,119.7390729,497.8448206,256.3019507,130.3182026,191.1007521,262.0266397
AT3G29035,248.2842451,358.8260699,320.9240779,31.95948927,157.7955219,118.8280532,123.5252888,250.2411499,252.990714,46.65062667,60.05786452,79.90106281
AT3G29075,573.049759,533.0573437,493.3169333,287.6528918,329.0306063,331.3784606,338.5133915,341.6062505,410.8328772,219.9375279,308.3261067,320.6327422
AT3G29130,175.4743725,456.3509216,304.8112633,227.4360939,311.3521318,286.1276185,226.4130734,273.8696781,304.0593966,260.7078723,217.2113343,352.617172
AT3G29170,232.3993729,402.878711,279.8621564,186.1880379,306.3917758,272.1026195,179.23062,361.3648026,354.9568154,217.3509189,166.8142187,232.6753368
AT3G29200,342.0652018,415.3291791,299.9746228,344.247432,412.1180924,411.0443421,307.593756,386.4661376,346.1500304,283.6141399,337.0338194,286.9055861
AT3G29240,289.5404135,469.2436784,298.4377317,9.428184776,122.3587964,110.6475431,393.5510833,242.2286861,574.1539254,2.72789099,33.47772925,36.44136497
AT3G29350,481.013302,388.230944,389.8067541,234.0206118,265.185699,285.5792894,215.0551906,514.1010233,369.8219067,188.9135001,242.406341,317.8410086
AT3G29410,121.5131014,180.3315296,94.28923819,1352.973199,756.14493,606.6684628,6.398704463,446.0686105,27.67944005,1007.287964,203.2207362,157.7787501
AT3G30350,290.8224579,444.5671136,351.2716717,419.6113064,487.1178494,295.4341893,369.1824905,319.1681055,325.5712076,465.0793752,350.5324168,501.5762097
AT3G30390,426.7962295,559.8558825,431.0363228,165.7050716,315.7089788,244.8690995,449.8250385,351.6135929,826.8482123,158.6219816,196.0611997,281.8761578
AT3G41979,232.24342,463.3449142,336.8173301,273.7579536,345.6222937,478.390213,148.8590605,192.8945795,225.6628868,285.5050862,367.0713833,368.7445983
AT3G42150,408.4280105,498.07466,471.6159066,301.2489997,337.1156531,337.2492349,297.8218279,270.1004699,264.4323813,316.8597408,308.9313616,274.3145937
AT3G42170,521.7941815,182.3701574,337.2838188,392.9352299,362.8948088,428.4941071,496.7152684,241.2954133,245.871274,323.7386366,477.6580786,318.1165114
AT3G43300,400.0937002,500.5806878,342.1925769,526.1707995,458.534438,638.7655153,589.978731,508.0461326,466.3766181,509.9326589,515.333116,569.9604153
AT3G43430,183.2680218,320.4756758,186.123681,31.87186071,173.2197888,217.3149585,106.6676539,284.7177191,335.1689053,30.73964176,78.4090268,114.6614602
AT3G43440,299.9094261,391.3629392,261.1536918,236.3683145,224.5200696,290.9800372,227.7315081,294.137959,390.7462993,227.4455352,203.6526954,244.6837042
AT3G43520,369.4030849,271.0725605,252.5707538,312.984943,301.884446,250.6735199,259.7897092,221.3038427,233.0252123,380.8612678,407.2581435,386.0391358
AT3G43590,400.6480611,337.5524716,236.6193239,428.3061417,356.1904861,406.6978832,407.717791,264.3009894,379.2145989,397.2049221,457.6677442,465.2324105
