$RNA_seq	FLT_Light_Rep1	FLT_Light_Rep2	FLT_Light_Rep3	FLT_Dark_Rep1	FLT_Dark_Rep2	FLT_Dark_Rep3	GC_Light_Rep1	GC_Light_Rep2	GC_Light_Rep3	GC_Dark_Rep1	GC_Dark_Rep2	GC_Dark_Rep3
AT5G41020	246.4456761	264.048978	306.0829012	188.9506101	278.957737	480.6943028	247.8723415	364.2169174	246.8267889	244.4589876	299.9766635	226.0826952
AT5G41060	267.2110666	229.1921441	223.1496587	220.8302899	237.893295	147.3750452	328.9992392	205.426141	247.1081376	249.1511292	382.0387971	324.3757039
AT5G41080	151.299792	275.3782163	202.479503	235.6234428	213.8462416	146.2340613	207.9787451	298.7850166	669.4986286	289.6687249	131.1737459	185.6570012
AT5G41190	376.7796129	271.894354	298.8075674	314.2368792	388.5120472	262.4524988	340.3853502	250.0168185	193.9247301	365.0119557	369.6800159	230.2182684
AT5G41260	270.7590137	359.7606259	287.4925085	235.8789051	385.1284282	204.4584335	246.545472	209.4748458	192.9850136	344.6773366	278.6913884	383.0277163
AT5G41280	339.2503335	208.0709285	250.1218	390.9967357	104.8873321	356.6830105	65.35506912	91.38949333	67.60889538	96.45165506	42.78999156	129.0122062
AT5G41300	285.4145544	199.1335178	153.7868621	279.0582998	162.0440534	307.6027087	97.68794099	93.26581831	84.47049083	119.9831753	71.29826224	105.2694659
AT5G41340	184.1598445	135.7854126	171.6291933	151.3428433	139.0255871	197.0236679	133.0926713	412.885723	282.2912243	171.9021668	174.2562618	160.92076
AT5G41400	57.29738169	64.00958241	156.1562678	70.6010867	44.38713869	238.1345749	68.40118404	267.9552154	276.9231882	116.0752079	48.05343193	122.7826824
AT5G41760	342.0693843	369.7651473	377.4407478	362.8632019	451.315685	243.5427318	343.7317409	408.111936	276.8807527	369.5556355	222.5784384	419.7933921
AT5G41790	232.7735893	252.4940333	280.2692605	222.6576725	293.6588551	223.8756356	218.0030271	306.5568893	201.8730121	262.7042458	193.1446312	310.8038233
AT5G41810	133.030084	72.46167918	167.9894278	122.2559568	66.56547553	214.3640165	91.84133192	99.54114514	143.7312206	40.06563897	15.56924251	69.97578501
AT5G41940	269.9822401	311.8034898	256.6942074	305.1300443	311.8897254	196.3126726	220.9285202	228.6537111	212.9657215	271.9581208	212.5035661	313.836186
AT5G41950	554.2021976	442.8766775	395.990514	553.6087943	458.4086183	359.6803797	391.3332294	312.759003	340.2314361	462.8981587	398.2968256	386.1121586
AT5G41970	390.4517893	294.7287826	365.9349115	435.8665689	547.2353008	460.0878351	461.5562431	551.7752284	508.7792282	514.3720392	551.301589	391.2086449
AT5G41990	361.5997573	469.5872024	476.9803549	453.5395024	316.5789853	309.6308302	290.8034593	401.3733157	336.0505772	360.9012993	344.7462976	420.1866993
AT5G42060	247.4711099	247.5306291	211.7127575	209.3357766	409.8074614	413.4535698	308.5444092	460.5676073	322.5499834	367.4777154	471.1904145	279.3516175
AT5G42110	285.449818	311.1411964	258.5899746	277.740799	522.8405187	447.2012362	374.2912838	467.0892824	485.543209	531.1845767	584.6568743	388.6368135
AT5G42250	166.5792327	144.1307819	303.624172	239.3035477	58.48449697	228.1811555	214.3965036	193.5488687	194.7671112	65.59075547	41.05119682	97.03387078
AT5G42520	346.8720833	426.1270594	355.4526787	384.5087567	375.7442886	289.4465302	378.460197	318.482721	326.3140522	325.2162595	410.1331222	381.2849631
AT5G42540	395.0579817	414.5595265	366.0842816	412.448052	524.856216	556.7508023	541.1956305	380.1198365	289.7935805	418.8777587	597.0210969	425.3799519
AT5G42560	320.357402	269.6078873	285.369731	335.912256	206.4664664	345.5510519	303.9554934	287.8695772	277.6167092	255.4118896	229.3842071	300.0049157
