"","X","phyD_GC_c1.which.mclass....6...1."
"1949",1949,"AT4G05520"
"431",431,"AT1G48370"
"789",789,"AT1G80850"
"1709",1709,"AT3G50790"
"2412",2412,"AT5G07630"
"2841",2841,"AT5G51350"
"1498",1498,"AT3G18510"
"2748",2748,"AT5G44500"
"1127",1127,"AT2G38970"
"2394",2394,"AT5G06200"
"2726",2726,"AT5G42700"
"2087",2087,"AT4G19550"
"2256",2256,"AT4G34500"
"1427",1427,"AT3G13290"
"598",598,"AT1G64450"
"2294",2294,"AT4G38062"
"382",382,"AT1G33270"
"1704",1704,"AT3G49890"
"317",317,"AT1G27460"
"686",686,"AT1G72560"
"2226",2226,"AT4G32250"
"222",222,"AT1G17690"
"2318",2318,"AT4G39960"
"1911",1911,"AT4G02120"
"600",600,"AT1G64600"
"2727",2727,"AT5G42720"
"1997",1997,"AT4G11560"
"1696",1696,"AT3G49600"
"303",303,"AT1G25320"
"788",788,"AT1G80810"
"1635",1635,"AT3G29690"
"1994",1994,"AT4G11175"
"128",128,"AT1G10570"
"904",904,"AT2G19720"
"249",249,"AT1G19710"
"207",207,"AT1G16680"
"2008",2008,"AT4G13070"
"304",304,"AT1G25570"
"608",608,"AT1G65410"
"478",478,"AT1G52310"
"1676",1676,"AT3G47040"
"2569",2569,"AT5G19290"
"1526",1526,"AT3G20080"
"1064",1064,"AT2G33847"
"2424",2424,"AT5G08550"
"2505",2505,"AT5G14580"
"915",915,"AT2G20790"
"2635",2635,"AT5G25090"
"2279",2279,"AT4G36920"
"2483",2483,"AT5G12980"
"3008",3008,"AT5G66060"
"26",26,"AT1G03250"
"2463",2463,"AT5G10930"
"733",733,"AT1G76510"
"528",528,"AT1G55870"
"2411",2411,"AT5G07590"
"2557",2557,"AT5G18070"
"1141",1141,"AT2G39890"
"301",301,"AT1G24706"
"2277",2277,"AT4G36650"
"59",59,"AT1G06000"
"1988",1988,"AT4G10650"
"1413",1413,"AT3G12640"
"1906",1906,"AT4G01960"
"1916",1916,"AT4G02460"
"1356",1356,"AT3G07860"
"798",798,"AT2G01750"
"884",884,"AT2G17760"
"897",897,"AT2G19160"
"2372",2372,"AT5G04885"
"2537",2537,"AT5G16580"
"2112",2112,"AT4G21800"
"3039",3039,"ATCG00670"
"3027",3027,"AT5G67270"
"27",27,"AT1G03260"
"537",537,"AT1G56430"
"538",538,"AT1G56440"
"57",57,"AT1G05910"
"2300",2300,"AT4G38210"
"847",847,"AT2G11000"
"2283",2283,"AT4G36970"
"959",959,"AT2G25270"
"1372",1372,"AT3G09560"
"2674",2674,"AT5G35995"
"818",818,"AT2G04380"
"2555",2555,"AT5G17990"
"1387",1387,"AT3G10670"
"1384",1384,"AT3G10550"
"951",951,"AT2G24610"
"367",367,"AT1G31470"
"1007",1007,"AT2G28540"
"142",142,"AT1G11630"
"2289",2289,"AT4G37430"
"2352",2352,"AT5G03260"
"573",573,"AT1G62110"
"1272",1272,"AT3G02210"
"193",193,"AT1G15710"
"2673",2673,"AT5G35910"
"865",865,"AT2G16070"
"280",280,"AT1G22950"
"1816",1816,"AT3G58140"
"1194",1194,"AT2G43190"
"2776",2776,"AT5G47100"
"433",433,"AT1G48460"
"1179",1179,"AT2G42070"
"1883",1883,"AT4G00231"
"2255",2255,"AT4G34360"
"977",977,"AT2G26460"
"1420",1420,"AT3G13030"
"1353",1353,"AT3G07690"
"2976",2976,"AT5G63810"
"911",911,"AT2G20480"
"2676",2676,"AT5G36800"
"2795",2795,"AT5G48830"
"2257",2257,"AT4G34590"
"1076",1076,"AT2G35020"
"2233",2233,"AT4G33010"
