"","phyD_GC_c1.which.mclass....7...1."
"819","AT5G08450"
"820","AT5G08570"
"821","AT5G08590"
"822","AT5G08620"
"823","AT5G09310"
"824","AT5G09595"
"825","AT5G09830"
"826","AT5G09890"
"827","AT5G10130"
"828","AT5G10160"
"829","AT5G10350"
"830","AT5G10510"
"831","AT5G10830"
"832","AT5G10840"
"833","AT5G11280"
"834","AT5G11340"
"835","AT5G11560"
"836","AT5G11880"
"837","AT5G12210"
"838","AT5G12240"
"839","AT5G12410"
"840","AT5G13560"
"841","AT5G14430"
"842","AT5G14440"
"843","AT5G14920"
"844","AT5G15220"
"845","AT5G15490"
"846","AT5G15750"
"847","AT5G16060"
"848","AT5G16250"
"849","AT5G16510"
"850","AT5G17380"
"851","AT5G17560"
"852","AT5G17610"
"853","AT5G17630"
"854","AT5G18110"
"855","AT5G18480"
"856","AT5G18580"
"857","AT5G18680"
"858","AT5G18690"
"859","AT5G18790"
"860","AT5G19520"
"861","AT5G19690"
"862","AT5G19990"
"863","AT5G20060"
"864","AT5G20080"
"865","AT5G20165"
"866","AT5G20520"
"867","AT5G20570"
"868","AT5G20900"
"869","AT5G20960"
"870","AT5G22060"
"871","AT5G22080"
"872","AT5G22140"
"873","AT5G23040"
"874","AT5G23140"
"875","AT5G23290"
"876","AT5G23395"
"877","AT5G23450"
"878","AT5G23535"
"879","AT5G23575"
"880","AT5G23670"
"881","AT5G23820"
"882","AT5G23860"
"883","AT5G24610"
"884","AT5G24690"
"885","AT5G24760"
"886","AT5G25540"
"887","AT5G25754"
"888","AT5G25890"
"889","AT5G25940"
"890","AT5G26710"
"891","AT5G26780"
"892","AT5G27450"
"893","AT5G27640"
"894","AT5G28020"
"895","AT5G28540"
"896","AT5G28919"
"897","AT5G32450"
"898","AT5G35080"
"899","AT5G35630"
"900","AT5G35680"
"901","AT5G36880"
"902","AT5G37475"
"903","AT5G37510"
"904","AT5G38470"
"905","AT5G38630"
"906","AT5G38650"
"907","AT5G38830"
"908","AT5G39340"
"909","AT5G40190"
"910","AT5G40370"
"911","AT5G40580"
"912","AT5G40660"
"913","AT5G40760"
"914","AT5G40770"
"915","AT5G40970"
"916","AT5G41010"
"917","AT5G41210"
"918","AT5G41670"
"919","AT5G41680"
"920","AT5G42420"
"921","AT5G42570"
"922","AT5G42820"
"923","AT5G42890"
"924","AT5G42960"
"925","AT5G43060"
"926","AT5G43320"
"927","AT5G43700"
"928","AT5G44200"
"929","AT5G44790"
"930","AT5G44800"
"931","AT5G45010"
"932","AT5G45280"
"933","AT5G45472"
"934","AT5G45490"
"935","AT5G45500"
"936","AT5G46630"
"937","AT5G46840"
"938","AT5G47120"
"939","AT5G47310"
"940","AT5G47320"
"941","AT5G47430"
"942","AT5G47435"
"943","AT5G47690"
"944","AT5G47750"
"945","AT5G47780"
"946","AT5G48335"
"947","AT5G48385"
"948","AT5G48480"
"949","AT5G48500"
"950","AT5G48655"
"951","AT5G48870"
"952","AT5G49210"
"953","AT5G49460"
"954","AT5G49540"
"955","AT5G50000"
"956","AT5G50375"
"957","AT5G50680"
"958","AT5G50870"
"959","AT5G51120"
"960","AT5G51880"
"961","AT5G52040"
"962","AT5G52370"
"963","AT5G52820"
"964","AT5G53310"
"965","AT5G53450"
"966","AT5G53900"
"967","AT5G54310"
"968","AT5G54370"
"969","AT5G54580"
"970","AT5G54750"
"971","AT5G54810"
"972","AT5G54970"
"973","AT5G55125"
"974","AT5G55140"
"975","AT5G55300"
"976","AT5G55610"
"977","AT5G55660"
"978","AT5G55910"
"979","AT5G56360"
"980","AT5G56530"
"981","AT5G56940"
"982","AT5G57020"
"983","AT5G57440"
"984","AT5G57870"
"985","AT5G58030"
"986","AT5G58240"
"987","AT5G58640"
"988","AT5G58740"
"989","AT5G58990"
"990","AT5G59160"
"991","AT5G59890"
"992","AT5G59950"
"993","AT5G60400"
"994","AT5G60460"
"995","AT5G60620"
"996","AT5G60640"
"997","AT5G60980"
"998","AT5G61230"
"999","AT5G61240"
"1000","AT5G61310"
"1001","AT5G61780"
"1002","AT5G61790"
"1003","AT5G62575"
"1004","AT5G62900"
"1005","AT5G63510"
"1006","AT5G63660"
"1007","AT5G63670"
"1008","AT5G64160"
"1009","AT5G64200"
"1010","AT5G64500"
"1011","AT5G64680"
"1012","AT5G64740"
"1013","AT5G65050"
"1014","AT5G65360"
"1015","AT5G65700"
"1016","AT5G66140"
"1017","AT5G66240"
"1018","AT5G66280"
"1019","AT5G66860"
"1020","AT5G66920"
"1021","AT5G67260"
"1022","AT5G67320"
"1023","AT5G67360"
"1024","AT5G67488"
"1025","AT5G67490"
"1026","AT5G67560"
"1027","ATCG00830"
"1028","ATMG00830"
