TAIR,SYMBOL,Log2fc_.Col.0_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_dark.
AT5G11200,UAP56b,0.06668844,0.2089655,0.04800766,0.2608644,0.08002423,-0.275212,-0.3346098,-0.464314,-0.7706565,0.1422771,-0.01868078,0.194176,0.01333579,-0.3419005,-0.4012982,-0.5310024,-0.837345,-0.03623271,-0.1029212,-0.01580678,-0.08249522
AT5G11670,ATNADP-ME2,-0.03122146,-1.086379,-0.2663949,-0.6537978,-0.196344,-0.1848518,0.05364956,-0.006407879,0.5480005,-1.055157,-0.2351734,-0.6225763,-0.1651226,-0.1536303,0.08487102,0.02481358,0.579222,-0.6073229,-0.5761015,-0.3687233,-0.3375018
AT5G13420,TRA2,-0.3265506,-0.1957281,0.2172954,0.1478782,-0.8026971,-0.4228784,-0.5288617,-0.3159163,-0.8797737,0.1308225,0.543846,0.4744288,-0.4761465,-0.09632778,-0.2023111,0.01063431,-0.5532231,-0.1864789,0.1400717,-0.1861714,0.1403792
AT5G13740,ZIF1,-1.044149,-0.9376525,-0.2205305,-0.6920531,-0.1457177,-0.6539897,-0.7997137,-0.7580511,-0.3300974,0.1064965,0.8236185,0.3520959,0.8984313,0.3901593,0.2444353,0.2860979,0.7140516,-0.3441129,0.7000361,-1.070676,-0.02652667
AT5G14920,GASA14,-1.217548,-0.1875142,-1.182012,-0.7592201,-0.740402,-0.5319865,-0.6992224,0.1414192,-0.5215061,1.030034,0.03553541,0.4583278,0.4771459,0.6855614,0.5183255,1.358967,0.6960418,-0.520357,0.6971908,-1.010888,0.2066601
AT5G18110,NCBP,0.2247078,0.1218951,-0.03898595,0.1042361,0.418527,0.5472315,0.8716027,0.5575783,0.7671987,-0.1028128,-0.2636938,-0.1204717,0.1938192,0.3225236,0.6468949,0.3328705,0.5424909,0.3208917,0.09618387,0.2600486,0.03534077
AT5G18520,Cand7,0.2586012,0.1364949,0.3231268,0.2461654,-0.1068672,-0.502384,0.05791643,0.1466402,0.1935198,-0.1221063,0.06452565,-0.01243578,-0.3654683,-0.7609852,-0.2006847,-0.111961,-0.06508133,-0.2737815,-0.5323827,-0.226085,-0.4846862
AT5G19520,ATMSL9,-0.6645504,0.1266154,-0.08341371,0.02791006,0.02901411,0.2583597,0.1108937,0.01122107,-0.2228178,0.7911659,0.5811367,0.6924605,0.6935645,0.9229101,0.7754441,0.6757715,0.4417326,-0.4233151,0.2412353,-0.3327632,0.3317873
AT5G19690,STT3A,-0.2007802,0.01478598,0.1840602,0.4401244,-0.2416806,0.2378387,-0.2180697,0.1091726,-0.5976676,0.2155662,0.3848404,0.6409046,-0.04090046,0.4386189,-0.01728952,0.3099528,-0.3968875,-0.4002038,-0.1994236,-0.3299402,-0.1291601
AT5G19990,ATSUG1,0.07281168,0.1628419,0.1912159,0.4496166,0.2045846,-0.002966171,0.06494033,-0.03260105,-0.1539227,0.09003018,0.1184042,0.3768049,0.1317729,-0.07577785,-0.007871352,-0.1054127,-0.2267344,-0.04953109,-0.1223428,-0.0832549,-0.1560666
AT5G20570,ATRBX1,0.167164,0.1362331,0.01163728,0.2017651,0.08295747,-0.07633722,0.1316867,0.3346583,-0.004002023,-0.0309309,-0.1555267,0.03460112,-0.08420651,-0.2435012,-0.03547728,0.1674943,-0.171166,0.637345,0.470181,0.311126,0.143962
AT5G20650,COPT5,0.6792494,0.1123936,0.3978343,-0.007671199,0.1464777,-0.2997652,0.1446106,0.4396674,0.9172104,-0.5668558,-0.2814151,-0.6869206,-0.5327717,-0.9790146,-0.5346388,-0.239582,0.237961,0.4621187,-0.2171307,0.259938,-0.4193114
AT5G23290,PFD5,0.006047555,0.2282799,0.04147625,0.2305806,0.09976163,-0.1319605,-0.1299498,0.07177472,-0.3145905,0.2222324,0.0354287,0.224533,0.09371407,-0.138008,-0.1359974,0.06572716,-0.320638,0.4730604,0.4670129,0.2140636,0.208016
AT5G23860,TUB8,-0.4440988,0.3669691,0.198981,0.3861483,0.1755069,0.05912834,0.1005147,-0.08960855,0.006038481,0.8110679,0.6430798,0.830247,0.6196057,0.5032271,0.5446135,0.3544902,0.4501373,-0.07183877,0.37226,0.1633752,0.6074739
AT5G24400,EMB2024,0.5186994,0.124306,0.2611882,0.4977872,0.1106994,-0.05206472,0.450393,0.3159557,0.4064805,-0.3943934,-0.2575112,-0.0209122,-0.408,-0.5707642,-0.06830645,-0.2027437,-0.112219,0.3535709,-0.1651285,0.07971974,-0.4389797
AT5G25460,DGR2,1.165112,0.2611823,0.8257863,0.7124987,0.9412846,0.2978885,1.782545,0.3269838,1.695308,-0.9039301,-0.3393261,-0.4526137,-0.2238277,-0.8672238,0.6174325,-0.8381286,0.5301953,-0.2707249,-1.435837,0.1166326,-1.04848
AT5G26880,AGL26,-0.2518193,-0.01081247,-0.3146648,-0.05237528,0.004640939,-0.1343578,-0.06238242,-0.1842052,-0.1533469,0.2410069,-0.06284542,0.1994441,0.2564603,0.1174616,0.1894369,0.06761411,0.09847241,0.1383463,0.3901657,-0.2310421,0.0207772
AT5G27670,HTA7,0.01645258,-0.1145622,0.05375484,0.04192744,0.1018366,-0.1302058,0.04335971,0.1511472,0.0687468,-0.1310148,0.03730226,0.02547487,0.08538402,-0.1466584,0.02690714,0.1346946,0.05229422,-0.0950158,-0.1114684,-0.3002764,-0.3167289
AT5G28540,BIP1,-0.3266987,-0.240406,-0.3789153,0.3882547,-0.4377716,-0.2888677,-0.6846964,0.1673585,-1.034987,0.08629261,-0.05221665,0.7149534,-0.111073,0.037831,-0.3579977,0.4940572,-0.7082879,-0.7395677,-0.4128691,-0.5977239,-0.2710253
AT5G28640,AN3,0.06747435,0.2110193,0.02871834,0.1187065,0.4332253,0.1194821,0.05987777,-0.4666686,0.3399713,0.143545,-0.03875601,0.05123212,0.3657509,0.0520078,-0.007596575,-0.5341429,0.272497,0.02205907,-0.04541528,-0.05414849,-0.1216228
AT5G34850,ATPAP26,0.4215439,0.2079497,0.5111692,-0.06624682,0.5496882,0.212543,0.4160388,-0.1980064,0.6092981,-0.2135942,0.08962535,-0.4877907,0.1281443,-0.2090009,-0.005505062,-0.6195502,0.1877542,-0.05830131,-0.4798452,0.3288879,-0.09265602
AT5G35620,EIF(ISO)4E,0.2514214,0.2410365,0.2242393,0.4261115,-0.2401124,-0.09847591,-0.1210652,-0.02287684,-0.614265,-0.01038482,-0.027182,0.1746902,-0.4915338,-0.3498973,-0.3724866,-0.2742982,-0.8656863,0.3082897,0.05686831,0.02447768,-0.2269437
