TAIR,SYMBOL,Log2fc_.Col.0_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_dark.
AT1G66950,ABCG39,0,0,0,-4.236252,0,0,-6.487536,0,-4.552752,0,0,-3.792603,0,0,-6.043888,0,-4.109103,0,0,0,0
AT1G66960,LUP5,0,0,0,-4.026367,0,0,-7.427662,0,-2.875124,0,0,-3.582635,0,0,-6.98393,0,-2.431392,0,0,0,0
AT1G66970,GDPDL1,0,-2.87511,-5.350335,0,0,0,-1.307663,0,0,-2.431392,-4.906617,0,0,0,-0.8639447,0,0,0,0,0,0
AT1G67100,LBD40,0,-0.9912746,0,0,-4.282768,0,-2.875915,-1.451469,-1.273505,-0.5472053,0,0,-3.838699,0,-2.431846,-1.007399,-0.8294362,-1.077543,-0.6334736,-0.8497725,-0.4057033
AT1G67220,ATHPCAT1,0,0,0,-2.6454,0,-5.113333,0,0,0,0,0,-2.201739,0,-4.669672,0,0,0,-3.444144,-3.000484,-2.372335,-1.928675
AT1G76750,EC1.1,0,0,-2.263218,-3.022567,-0.9217135,-2.068593,0,-1.48085,0,0,-1.81893,-2.57828,-0.4774258,-1.624305,0,-1.036562,0,-2.038299,-1.594012,0,0
AT1G77210,AtSTP14,0,-2.76817,-1.634093,0,0,-5.109581,0,0,0,-2.324361,-1.190284,0,0,-4.665772,0,0,0,-3.462056,-3.018247,-2.740403,-2.296594
AT1G78160,APUM7,0,0,0,0,-2.473975,0,-3.078022,-3.641498,0,0,0,0,-2.030189,0,-2.634236,-3.197712,0,0,0,0,0
AT1G80390,IAA15,0,-3.129515,0,-3.228655,-1.603024,-1.250709,0,0,0,-2.685372,0,-2.784513,-1.158881,-0.8065664,0,0,0,-1.077187,-0.6330438,-4.423563,-3.979421
AT1G80590,ATWRKY66,0,-1.930323,0,0,0,-8.65686,-9.147022,-9.04722,-7.29324,-1.486127,0,0,0,-8.212664,-8.702826,-8.603024,-6.849044,-2.874525,-2.430329,-2.542753,-2.098557
AT2G15090,KCS8,0,0,0,-5.558627,0,0,-5.485599,-1.430018,-2.442993,0,0,-5.114811,0,0,-5.041783,-0.986203,-1.999178,0,0,0,0
AT2G17470,ALMT6,0,0,0,-4.080948,-0.9270342,-4.362314,-4.263552,-5.959606,-4.921977,0,0,-3.637111,-0.4831967,-3.918477,-3.819715,-5.515769,-4.47814,-1.090047,-0.6462091,0,0
AT2G17690,SDC,0,0,-1.647993,0,-0.9158597,0,-3.861379,-4.027515,-1.943898,0,-1.204111,0,-0.4719781,0,-3.417497,-3.583634,-1.500017,-4.69014,-4.246258,-0.8509213,-0.4070397
AT2G21330,AtFBA1,0,-3.436576,0,0,-0.8400712,-4.45905,-4.386539,-5.883757,-5.144349,-2.992712,0,0,-0.3962063,-4.015185,-3.942674,-5.439892,-4.700484,0,0,0,0
AT2G23220,CYP81D6,0,0,-2.819309,0,0,0,-4.741556,-1.435907,-1.276347,0,-2.375419,0,0,0,-4.297666,-0.9920169,-0.8324567,0,0,0,0
AT2G24710,ATGLR2.3,0,-4.332699,-4.323991,-1.495385,0,0,0,0,0,-3.888972,-3.880264,-1.051658,0,0,0,0,0,-5.021146,-4.577419,-0.8847607,-0.4410337
AT2G26020,PDF1.2b,0,0,0,0,0,-9.34087,-4.667761,-8.44164,-3.851269,0,0,0,0,-8.896497,-4.223388,-7.997267,-3.406896,0,0,0,0
AT2G28630,KCS12,0,-5.710574,-4.161632,-1.467864,0,-4.976542,-3.759359,0,0,-5.266757,-3.717815,-1.024047,0,-4.532725,-3.315542,0,0,-5.314232,-4.870415,-5.263577,-4.81976
AT2G28850,CYP710A3,0,-5.103283,-4.811696,0,-2.965483,-4.860267,-2.74126,-2.493459,-2.447598,-4.659388,-4.367802,0,-2.521589,-4.416373,-2.297366,-2.049564,-2.003703,0,0,-1.627975,-1.184081
AT2G32860,BGLU33,0,0,-2.798198,0,0,0,-2.2407,-3.237481,0,0,-2.354407,0,0,0,-1.796909,-2.79369,0,-3.100889,-2.657098,0,0
AT2G38195,APD4,0,0,0,-3.493799,-1.832678,-5.151496,-5.813658,-6.331575,-4.586896,0,0,-3.049928,-1.388807,-4.707624,-5.369786,-5.887703,-4.143025,0,0,0,0
AT2G39030,NATA1,0,0,-6.421421,-3.969288,0,0,0,0,0,0,-5.977385,-3.525253,0,0,0,0,0,-1.077652,-0.6336161,0,0
AT2G42800,AtRLP29,0,-4.165208,0,0,-0.9147316,0,-3.015759,-3.566968,-1.924129,-3.721442,0,0,-0.4709657,0,-2.571994,-3.123203,-1.480363,0,0,0,0
AT2G45570,CYP76C2,0,0,0,0,-1.978765,-4.409226,-5.118475,-4.459742,-5.299558,0,0,0,-1.534972,-3.965434,-4.674682,-4.015949,-4.855766,0,0,0,0
AT2G46480,GAUT2,0,-1.009257,0,-4.086033,-0.9301542,0,0,-2.236269,0,-0.5653942,0,-3.64217,-0.4862912,0,0,-1.792406,0,0,0,0,0
AT2G47750,GH3.9,0,0,0,0,-4.232194,-4.534298,-1.264379,0,-1.278773,0,0,0,-3.788466,-4.09057,-0.8206511,0,-0.8350455,-2.969642,-2.525915,-5.515048,-5.071321
AT3G04510,LSH2,0,-3.287624,0,0,0,-1.252359,0,0,0,-2.843674,0,0,0,-0.8084086,0,0,0,-1.077936,-0.6339862,-2.685448,-2.241498
AT3G05790,LON4,0,0,0,0,0,0,-3.898158,-3.391813,-1.257856,0,0,0,0,0,-3.45444,-2.948096,-0.8141385,0,0,0,0
AT3G06260,GATL4,0,0,-4.268661,-2.535486,-1.804978,0,0,-3.237422,-2.458778,0,-3.824863,-2.091687,-1.36118,0,0,-2.793623,-2.014979,-1.078567,-0.6347686,0,0
AT3G08700,UBC12,0,-2.098912,0,-2.790381,0,-1.171908,0,-2.368142,0,-1.654677,0,-2.346146,0,-0.7276728,0,-1.923906,0,0,0,-2.854313,-2.410078
AT3G13400,sks13,0,0,0,-2.641786,-0.9188392,-1.256871,-1.937247,-3.065203,-3.655932,0,0,-2.197966,-0.4750188,-0.8130507,-1.493427,-2.621383,-3.212112,-3.352838,-2.909017,-0.8548426,-0.4110222
AT3G13960,AtGRF5,0,-0.9957234,0,0,0,-3.153679,0,0,-2.513706,-0.5519098,0,0,0,-2.709866,0,0,-2.069893,-2.835262,-2.391448,-3.025473,-2.581659
AT3G15370,ATEXP12,0,-2.658539,0,-1.520427,-3.703132,-1.268425,0,0,-3.786615,-2.214498,0,-1.076386,-3.259092,-0.8243844,0,0,-3.342575,0,0,-1.609342,-1.165302
AT3G16380,PAB6,0,0,0,-4.66307,-0.9151976,0,-4.224072,0,-4.172628,0,0,-4.219258,-0.4713857,0,-3.78026,0,-3.728816,0,0,0,0
AT3G19090,AtLARP6c,0,0,-2.275308,-2.97891,-1.563364,-1.228427,-3.328132,0,-1.252444,0,-1.831456,-2.535058,-1.119512,-0.7845752,-2.884279,0,-0.8085917,0,0,-2.601383,-2.157531
AT3G20950,CYP705A32,0,0,0,0,0,-6.318147,-3.78435,-5.626647,-6.021307,0,0,0,0,-5.874255,-3.340457,-5.182754,-5.577415,0,0,0,0
