TAIR,SYMBOL,Log2fc_.Ws_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Ws_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Ws_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_dark.
AT1G52580,ATRBL5,0,-4.101095,0,-4.094033,0,0,0,0,0,-0.6719498,-0.6648877,0,0,-2.770993,-2.763931,0,0,0,0,-0.6281033,-0.6210412
AT1G53090,SPA4,0,-6.413769,0,-6.403299,0,-4.668937,-4.658467,-3.038646,-3.028176,-5.073868,-5.063398,-3.784866,-3.774396,-5.205404,-5.194934,-1.350295,-1.339825,-5.65987,-5.6494,-1.596169,-1.585699
AT1G55940,CYP708A1,0,0,0,0,0,-3.490692,-3.481768,-6.585374,-6.57645,-0.7257112,-0.7167867,-6.193957,-6.185032,-5.324092,-5.315167,-7.446841,-7.437916,-6.620043,-6.611118,-4.452898,-4.443973
AT1G57943,ATPUP17,0,-4.697893,0,-4.689838,0,0,0,-0.5651749,-0.5571203,0,0,-1.107584,-1.099529,0,0,0,0,0,0,-1.776879,-1.768824
AT1G60270,BGLU6,0,-5.029377,0,-5.020099,0,0,0,-0.5606945,-0.5514156,-1.786822,-1.777543,0,0,0,0,0,0,-3.99142,-3.982141,0,0
AT1G60530,DRP4A,0,0,0,0,0,-5.875461,-5.869449,-6.573427,-6.567415,-6.380709,-6.374697,-6.54136,-6.535348,-6.39283,-6.386818,-6.470309,-6.464298,-5.847066,-5.841055,-6.384401,-6.378389
AT1G62360,BUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.878353,-2.869133,-4.145274,-4.136054,-0.6244652,-0.6152453
AT1G64000,ATWRKY56,0,0,0,0,0,0,0,-1.531406,-1.525542,-2.23277,-2.226906,-5.899042,-5.893178,-0.7005051,-0.6946405,-3.907579,-3.901714,-5.458571,-5.452707,-5.995653,-5.989788
AT1G65800,ARK2,0,-3.293371,0,-3.282652,0,-2.122855,-2.112136,0,0,0,0,-1.119372,-1.108654,0,0,0,0,0,0,-2.351101,-2.340383
AT1G65860,FMO,0,-1.830009,-3.282439,-1.820732,-3.273162,-0.7871699,-0.7778928,0,0,-0.6705339,-0.6612568,-3.981146,-3.971869,0,0,-3.498293,-3.489016,0,0,-0.6243748,-0.6150977
AT1G68170,UMAMIT23,0,-3.70197,0,-3.693489,0,0,0,0,0,-2.731151,-2.722669,0,0,-0.8468851,-0.8384036,0,0,0,0,0,0
AT1G69540,AGL94,0,-2.231826,-2.709384,-2.222896,-2.700454,-2.392669,-2.383739,0,0,-3.715407,-3.706476,-3.194426,-3.185496,0,0,0,0,-1.151004,-1.142074,-2.701324,-2.692394
AT1G70440,SRO3,0,0,0,0,0,-2.79645,-2.788995,-2.162546,-2.155091,-3.700033,-3.692578,-3.605888,-3.598433,-2.04783,-2.040375,-4.380273,-4.372818,-4.20265,-4.195195,-3.004025,-2.99657
AT1G74670,GASA6,0,-3.928299,-2.442136,-3.922254,-2.436092,0,0,-1.899304,-1.89326,-3.630389,-3.624345,0,0,0,0,-1.357343,-1.351299,-1.214088,-1.208043,-2.524794,-2.518749
