TAIR,SYMBOL,Log2fc_.Ws_GC_Alight.v.Ws_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_GC_dark.v.Ws_FLT_dark.
AT5G36970,NHL25,0,0,0,-3.685236,-3.863429,0,0,-2.433615,-2.611808,0,0,0,0,0,0,0,0,0,0,0,0
AT5G37820,NIP4;2,0,0,0,0,0,-0.5462755,-0.723861,-4.03304,-4.210625,0,0,-2.635616,-2.813201,0,0,-3.974894,-4.152479,0,0,0,0
AT5G38800,AtbZIP43,0,0,0,0,0,0,0,-2.633531,-2.836276,0,0,-3.966258,-4.169003,0,0,0,0,0,0,0,0
AT5G39190,ATGER2,0,0,0,-6.110369,-6.293584,-2.095402,-2.278617,-3.187945,-3.37116,0,0,-4.43495,-4.618165,-5.611389,-5.794604,-7.308825,-7.49204,0,0,0,0
AT5G40260,AtSWEET8,0,0,0,-1.599987,-1.775052,-2.127645,-2.30271,0,0,0,0,0,0,0,0,-3.700938,-3.876003,-0.7998488,-0.9749141,0,0
AT5G41570,ATWRKY24,0,0,0,-6.298417,-6.486353,-0.4636702,-0.6516067,-7.116163,-7.3041,-4.791476,-4.979412,-6.248792,-6.436728,-6.179515,-6.367451,-7.564006,-7.751943,0,0,-0.7586106,-0.946547
AT5G43650,BHLH92,0,0,0,-3.595269,-3.771536,0,0,-0.9763623,-1.15263,-2.918248,-3.094515,-1.193366,-1.369634,0,0,-3.114842,-3.291109,0,0,0,0
AT5G45070,AtPP2-A8,0,-7.972701,-8.133498,-8.774965,-8.935762,-8.245783,-8.40658,-8.138061,-8.298858,-9.914089,-10.07489,-9.964658,-10.12546,-9.155694,-9.316491,-9.525787,-9.686584,0,0,0,0
AT5G45080,AtPP2-A6,0,-7.662199,-7.822402,-7.907443,-8.067646,-7.487153,-7.647356,-7.325201,-7.485404,-9.282558,-9.442762,-9.188348,-9.348552,-8.429394,-8.589598,-7.571324,-7.731527,0,0,0,0
AT5G45090,AtPP2-A7,0,-3.287147,-3.460547,-2.88868,-3.062081,-1.101824,-1.275225,-2.996969,-3.17037,-5.742129,-5.91553,-4.720104,-4.893504,-1.783227,-1.956628,-3.752366,-3.925767,0,0,0,0
