"","col_GC_c1.which.mclass....1...1."
"981","AT2G15220"
"982","AT2G15318"
"983","AT2G15350"
"984","AT2G16005"
"985","AT2G16245"
"986","AT2G16575"
"987","AT2G16910"
"988","AT2G17010"
"989","AT2G17040"
"990","AT2G17050"
"991","AT2G17060"
"992","AT2G17210"
"993","AT2G17295"
"994","AT2G17600"
"995","AT2G17660"
"996","AT2G17770"
"997","AT2G17780"
"998","AT2G17890"
"999","AT2G17920"
"1000","AT2G18025"
"1001","AT2G18260"
"1002","AT2G18300"
"1003","AT2G18350"
"1004","AT2G18420"
"1005","AT2G18500"
"1006","AT2G18550"
"1007","AT2G18640"
"1008","AT2G18685"
"1009","AT2G18720"
"1010","AT2G18917"
"1011","AT2G18970"
"1012","AT2G19050"
"1013","AT2G19190"
"1014","AT2G19210"
"1015","AT2G19410"
"1016","AT2G19610"
"1017","AT2G19650"
"1018","AT2G19700"
"1019","AT2G19900"
"1020","AT2G19910"
"1021","AT2G19960"
"1022","AT2G20030"
"1023","AT2G20170"
"1024","AT2G20250"
"1025","AT2G20470"
"1026","AT2G20510"
"1027","AT2G20520"
"1028","AT2G20570"
"1029","AT2G20700"
"1030","AT2G20721"
"1031","AT2G20800"
"1032","AT2G20825"
"1033","AT2G21200"
"1034","AT2G21210"
"1035","AT2G21237"
"1036","AT2G21480"
"1037","AT2G21490"
"1038","AT2G21510"
"1039","AT2G21530"
"1040","AT2G21595"
"1041","AT2G21610"
"1042","AT2G21770"
"1043","AT2G21780"
"1044","AT2G22088"
"1045","AT2G22121"
"1046","AT2G22200"
"1047","AT2G22290"
"1048","AT2G22426"
"1049","AT2G22496"
"1050","AT2G22590"
"1051","AT2G23000"
"1052","AT2G23110"
"1053","AT2G23190"
"1054","AT2G23347"
"1055","AT2G23400"
"1056","AT2G23830"
"1057","AT2G23970"
"1058","AT2G24030"
"1059","AT2G24270"
"1060","AT2G24285"
"1061","AT2G24320"
"1062","AT2G24450"
"1063","AT2G24535"
"1064","AT2G24720"
"1065","AT2G24850"
"1066","AT2G25200"
"1067","AT2G25215"
"1068","AT2G25297"
"1069","AT2G25409"
"1070","AT2G25440"
"1071","AT2G25482"
"1072","AT2G25600"
"1073","AT2G25890"
"1074","AT2G26150"
"1075","AT2G26330"
"1076","AT2G26410"
"1077","AT2G26480"
"1078","AT2G26720"
"1079","AT2G26750"
"1080","AT2G26940"
"1081","AT2G27160"
"1082","AT2G27313"
"1083","AT2G27320"
"1084","AT2G27385"
"1085","AT2G27390"
"1086","AT2G27402"
"1087","AT2G27505"
"1088","AT2G27535"
"1089","AT2G27630"
"1090","AT2G27650"
"1091","AT2G28140"
"1092","AT2G28170"
"1093","AT2G28270"
"1094","AT2G28420"
"1095","AT2G28500"
"1096","AT2G28605"
"1097","AT2G28680"
"1098","AT2G29090"
"1099","AT2G29110"
"1100","AT2G29320"
"1101","AT2G29360"
"1102","AT2G29380"
"1103","AT2G29410"
"1104","AT2G29470"
"1105","AT2G29600"
"1106","AT2G29620"
"1107","AT2G29710"
"1108","AT2G30115"
"1109","AT2G30220"
"1110","AT2G30630"
"1111","AT2G30660"
"1112","AT2G30670"
"1113","AT2G30690"
"1114","AT2G30750"
"1115","AT2G30770"
"1116","AT2G30790"
"1117","AT2G30984"
"1118","AT2G30985"
"1119","AT2G31100"
"1120","AT2G31250"
"1121","AT2G31345"
"1122","AT2G31420"
"1123","AT2G31480"
"1124","AT2G31550"
"1125","AT2G32050"
"1126","AT2G32130"
"1127","AT2G32160"
"1128","AT2G32275"
"1129","AT2G32290"
"1130","AT2G32340"
"1131","AT2G32370"
"1132","AT2G32660"
"1133","AT2G32670"
"1134","AT2G32740"
"1135","AT2G32750"
"1136","AT2G32830"
"1137","AT2G32885"
"1138","AT2G33000"
"1139","AT2G33010"
"1140","AT2G33160"
"1141","AT2G33230"
"1142","AT2G33300"
"1143","AT2G33720"
"1144","AT2G33750"
"1145","AT2G33810"
"1146","AT2G33815"
"1147","AT2G34010"
"1148","AT2G34186"
"1149","AT2G34220"
"1150","AT2G34230"
"1151","AT2G34240"
"1152","AT2G34320"
"1153","AT2G34440"
"1154","AT2G34580"
"1155","AT2G34610"
"1156","AT2G34850"
"1157","AT2G34960"
"1158","AT2G34990"
"1159","AT2G35150"
"1160","AT2G35260"
"1161","AT2G35300"
"1162","AT2G35343"
"1163","AT2G35370"
"1164","AT2G35670"
"1165","AT2G35700"
"1166","AT2G35770"
"1167","AT2G35820"
"1168","AT2G35850"
"1169","AT2G35890"
"1170","AT2G35990"
"1171","AT2G36030"
"1172","AT2G36110"
"1173","AT2G36180"
"1174","AT2G36210"
"1175","AT2G36295"
"1176","AT2G36440"
"1177","AT2G36500"
"1178","AT2G36560"
"1179","AT2G36590"
"1180","AT2G36660"
"1181","AT2G36695"
"1182","AT2G36780"
"1183","AT2G36815"
"1184","AT2G36854"
"1185","AT2G37140"
"1186","AT2G37370"
"1187","AT2G37670"
"1188","AT2G37720"
"1189","AT2G37805"
"1190","AT2G37880"
"1191","AT2G38100"
"1192","AT2G38150"
"1193","AT2G38152"
"1194","AT2G38220"
"1195","AT2G38255"
"1196","AT2G38340"
"1197","AT2G38490"
"1198","AT2G38540"
"1199","AT2G38790"
"1200","AT2G38920"
"1201","AT2G39010"
"1202","AT2G39310"
"1203","AT2G39400"
"1204","AT2G39415"
"1205","AT2G39520"
"1206","AT2G39820"
"1207","AT2G39980"
"1208","AT2G40116"
"1209","AT2G40130"
"1210","AT2G40180"
"1211","AT2G40250"
"1212","AT2G40340"
"1213","AT2G40450"
"1214","AT2G40460"
"1215","AT2G40580"
"1216","AT2G40670"
"1217","AT2G40710"
"1218","AT2G40790"
"1219","AT2G40925"
"1220","AT2G40955"
"1221","AT2G41090"
"1222","AT2G41340"
"1223","AT2G41342"
"1224","AT2G41355"
"1225","AT2G41370"
"1226","AT2G41445"
"1227","AT2G41451"
"1228","AT2G41470"
"1229","AT2G41515"
"1230","AT2G41590"
"1231","AT2G41810"
"1232","AT2G42005"
"1233","AT2G42100"
"1234","AT2G42140"
"1235","AT2G42150"
"1236","AT2G42200"
"1237","AT2G42220"
"1238","AT2G42510"
"1239","AT2G42610"
"1240","AT2G42830"
"1241","AT2G42835"
