"","X","phyD_GC_c1.which.mclass....2...1."
"633",633,"AT1G28710"
"435",435,"AT1G18265"
"123",123,"AT1G05630"
"4183",4183,"AT4G38380"
"2973",2973,"AT3G45960"
"4013",4013,"AT4G30470"
"4035",4035,"AT4G31380"
"2856",2856,"AT3G26240"
"1680",1680,"AT2G19970"
"1863",1863,"AT2G28830"
"1891",1891,"AT2G30320"
"4783",4783,"AT5G27460"
"1846",1846,"AT2G27770"
"4455",4455,"AT5G09840"
"2711",2711,"AT3G18620"
"1060",1060,"AT1G62130"
"56",56,"AT1G03560"
"1134",1134,"AT1G66050"
"1135",1135,"AT1G66080"
"121",121,"AT1G05553"
"1981",1981,"AT2G34380"
"1790",1790,"AT2G24610"
"1666",1666,"AT2G19280"
"2027",2027,"AT2G36370"
"2901",2901,"AT3G28580"
"4592",4592,"AT5G17980"
"1730",1730,"AT2G22530"
"2707",2707,"AT3G18440"
"2935",2935,"AT3G43890"
"4875",4875,"AT5G39940"
"2013",2013,"AT2G35690"
"777",777,"AT1G47603"
"2132",2132,"AT2G40860"
"301",301,"AT1G12460"
"4938",4938,"AT5G42590"
"953",953,"AT1G55390"
"1214",1214,"AT1G69020"
"2698",2698,"AT3G18110"
"408",408,"AT1G17220"
"2318",2318,"AT3G01202"
"1836",1836,"AT2G27090"
"594",594,"AT1G26900"
"3856",3856,"AT4G23060"
"2537",2537,"AT3G10660"
"5210",5210,"AT5G54880"
"919",919,"AT1G54180"
"2505",2505,"AT3G09220"
"5154",5154,"AT5G52020"
"2425",2425,"AT3G05640"
"2078",2078,"AT2G38240"
"5179",5179,"AT5G53150"
"2879",2879,"AT3G27180"
"1823",1823,"AT2G26270"
"1938",1938,"AT2G32400"
"4823",4823,"AT5G36740"
"2553",2553,"AT3G11640"
"2346",2346,"AT3G02242"
"5059",5059,"AT5G48590"
"1806",1806,"AT2G25300"
"160",160,"AT1G06923"
"1355",1355,"AT1G75030"
"1773",1773,"AT2G23960"
"4869",4869,"AT5G39790"
"3640",3640,"AT4G14200"
"1271",1271,"AT1G71930"
"569",569,"AT1G25320"
"3724",3724,"AT4G17350"
"4187",4187,"AT4G38650"
"710",710,"AT1G33290"
"2125",2125,"AT2G40480"
"3941",3941,"AT4G26990"
"1114",1114,"AT1G64810"
"2934",2934,"AT3G43790"
"2766",2766,"AT3G21280"
"2024",2024,"AT2G36050"
"5469",5469,"AT5G66800"
"4852",4852,"AT5G38550"
"267",267,"AT1G10930"
"896",896,"AT1G53430"
"3138",3138,"AT3G52100"
"1713",1713,"AT2G21350"
"1802",1802,"AT2G25050"
"1130",1130,"AT1G65730"
"4595",4595,"AT5G18210"
"2409",2409,"AT3G04750"
"3939",3939,"AT4G26965"
"230",230,"AT1G09540"
"4901",4901,"AT5G41025"
"4373",4373,"AT5G06620"
"1735",1735,"AT2G22680"
