"","phyD_GC_c1.which.mclass....2...1."
"1127","AT1G65560"
"1128","AT1G65690"
"1129","AT1G65710"
"1130","AT1G65730"
"1131","AT1G65900"
"1132","AT1G65950"
"1133","AT1G66020"
"1134","AT1G66050"
"1135","AT1G66080"
"1136","AT1G66160"
"1137","AT1G66230"
"1138","AT1G66330"
"1139","AT1G66345"
"1140","AT1G66440"
"1141","AT1G66470"
"1142","AT1G66480"
"1143","AT1G66510"
"1144","AT1G66520"
"1145","AT1G66600"
"1146","AT1G66660"
"1147","AT1G66690"
"1148","AT1G66700"
"1149","AT1G66725"
"1150","AT1G66730"
"1151","AT1G66800"
"1152","AT1G66820"
"1153","AT1G66830"
"1154","AT1G66880"
"1155","AT1G67035"
"1156","AT1G67050"
"1157","AT1G67110"
"1158","AT1G67180"
"1159","AT1G67190"
"1160","AT1G67210"
"1161","AT1G67310"
"1162","AT1G67410"
"1163","AT1G67420"
"1164","AT1G67440"
"1165","AT1G67500"
"1166","AT1G67510"
"1167","AT1G67530"
"1168","AT1G67560"
"1169","AT1G67570"
"1170","AT1G67600"
"1171","AT1G67660"
"1172","AT1G67690"
"1173","AT1G67700"
"1174","AT1G67710"
"1175","AT1G67720"
"1176","AT1G67750"
"1177","AT1G67780"
"1178","AT1G67792"
"1179","AT1G67800"
"1180","AT1G67820"
"1181","AT1G67830"
"1182","AT1G67840"
"1183","AT1G67850"
"1184","AT1G67880"
"1185","AT1G67890"
"1186","AT1G67910"
"1187","AT1G67960"
"1188","AT1G67970"
"1189","AT1G68050"
"1190","AT1G68080"
"1191","AT1G68160"
"1192","AT1G68185"
"1193","AT1G68330"
"1194","AT1G68340"
"1195","AT1G68400"
"1196","AT1G68430"
"1197","AT1G68450"
"1198","AT1G68500"
"1199","AT1G68590"
"1200","AT1G68620"
"1201","AT1G68640"
"1202","AT1G68650"
"1203","AT1G68690"
"1204","AT1G68730"
"1205","AT1G68740"
"1206","AT1G68795"
"1207","AT1G68830"
"1208","AT1G68850"
"1209","AT1G68862"
"1210","AT1G68872"
"1211","AT1G68910"
"1212","AT1G68940"
"1213","AT1G68980"
"1214","AT1G69020"
"1215","AT1G69060"
"1216","AT1G69200"
"1217","AT1G69210"
"1218","AT1G69260"
"1219","AT1G69325"
"1220","AT1G69370"
"1221","AT1G69400"
"1222","AT1G69485"
"1223","AT1G69550"
"1224","AT1G69570"
"1225","AT1G69572"
"1226","AT1G69588"
"1227","AT1G69670"
"1228","AT1G69680"
"1229","AT1G69690"
"1230","AT1G69790"
"1231","AT1G69800"
"1232","AT1G69830"
"1233","AT1G69880"
"1234","AT1G69890"
"1235","AT1G69910"
"1236","AT1G69935"
"1237","AT1G69970"
"1238","AT1G70000"
"1239","AT1G70100"
"1240","AT1G70140"
