"","WS_c1.which.mclass....4...1."
"860","AT1G50575"
"861","AT1G50600"
"862","AT1G50620"
"863","AT1G50630"
"864","AT1G50670"
"865","AT1G50710"
"866","AT1G50730"
"867","AT1G50740"
"868","AT1G50910"
"869","AT1G50940"
"870","AT1G51310"
"871","AT1G51350"
"872","AT1G51420"
"873","AT1G51540"
"874","AT1G51560"
"875","AT1G51580"
"876","AT1G51600"
"877","AT1G51610"
"878","AT1G51660"
"879","AT1G51720"
"880","AT1G51745"
"881","AT1G51800"
"882","AT1G51820"
"883","AT1G51850"
"884","AT1G51860"
"885","AT1G51940"
"886","AT1G52050"
"887","AT1G52160"
"888","AT1G52200"
"889","AT1G52280"
"890","AT1G52310"
"891","AT1G52320"
"892","AT1G52340"
"893","AT1G52370"
"894","AT1G52380"
"895","AT1G52500"
"896","AT1G52540"
"897","AT1G52600"
"898","AT1G52720"
"899","AT1G52730"
"900","AT1G52750"
"901","AT1G52780"
"902","AT1G53000"
"903","AT1G53040"
"904","AT1G53070"
"905","AT1G53090"
"906","AT1G53120"
"907","AT1G53140"
"908","AT1G53165"
"909","AT1G53180"
"910","AT1G53190"
"911","AT1G53290"
"912","AT1G53320"
"913","AT1G53380"
"914","AT1G53400"
"915","AT1G53450"
"916","AT1G53460"
"917","AT1G53560"
"918","AT1G53680"
"919","AT1G53710"
"920","AT1G53720"
"921","AT1G53760"
"922","AT1G53770"
"923","AT1G53780"
"924","AT1G53830"
"925","AT1G53880"
"926","AT1G53920"
"927","AT1G53940"
"928","AT1G54060"
"929","AT1G54090"
"930","AT1G54115"
"931","AT1G54170"
"932","AT1G54220"
"933","AT1G54310"
"934","AT1G54340"
"935","AT1G54360"
"936","AT1G54370"
"937","AT1G54380"
"938","AT1G54385"
"939","AT1G54390"
"940","AT1G54440"
"941","AT1G54460"
"942","AT1G54510"
"943","AT1G54540"
"944","AT1G54570"
"945","AT1G54730"
"946","AT1G54740"
"947","AT1G54770"
"948","AT1G54830"
"949","AT1G55000"
"950","AT1G55120"
"951","AT1G55130"
"952","AT1G55150"
"953","AT1G55160"
"954","AT1G55250"
"955","AT1G55265"
"956","AT1G55270"
"957","AT1G55340"
"958","AT1G55460"
"959","AT1G55500"
"960","AT1G55520"
"961","AT1G55530"
"962","AT1G55535"
"963","AT1G55540"
"964","AT1G55590"
"965","AT1G55610"
"966","AT1G55620"
"967","AT1G55730"
"968","AT1G55740"
"969","AT1G55750"
"970","AT1G55805"
"971","AT1G55810"
"972","AT1G55870"
"973","AT1G55880"
"974","AT1G55890"
"975","AT1G55900"
"976","AT1G55930"
"977","AT1G56000"
"978","AT1G56010"
"979","AT1G56045"
"980","AT1G56080"
"981","AT1G56170"
"982","AT1G56180"
"983","AT1G56290"
"984","AT1G56300"
"985","AT1G56320"
"986","AT1G56423"
"987","AT1G56440"
"988","AT1G56460"
"989","AT1G56550"
"990","AT1G56560"
"991","AT1G56590"
"992","AT1G56660"
"993","AT1G57590"
"994","AT1G57600"
"995","AT1G57610"
"996","AT1G57620"
"997","AT1G57700"
"998","AT1G57860"
"999","AT1G57870"
"1000","AT1G58025"
"1001","AT1G58060"
"1002","AT1G58100"
"1003","AT1G58110"
"1004","AT1G58170"
"1005","AT1G58180"
"1006","AT1G58200"
"1007","AT1G58220"
"1008","AT1G58235"
"1009","AT1G58270"
"1010","AT1G58280"
"1011","AT1G58350"
"1012","AT1G58602"
"1013","AT1G58684"
"1014","AT1G59218"
"1015","AT1G59520"
"1016","AT1G59540"
"1017","AT1G59650"
