"","WS_GC_c1.which.mclass....7...1."
"924","AT1G80650"
"925","AT1G80730"
"926","AT1G80960"
"927","AT2G01275"
"928","AT2G01330"
"929","AT2G01340"
"930","AT2G01390"
"931","AT2G01430"
"932","AT2G01510"
"933","AT2G01520"
"934","AT2G01620"
"935","AT2G01730"
"936","AT2G01740"
"937","AT2G01760"
"938","AT2G01860"
"939","AT2G01880"
"940","AT2G01900"
"941","AT2G02080"
"942","AT2G02350"
"943","AT2G02400"
"944","AT2G02410"
"945","AT2G02700"
"946","AT2G02750"
"947","AT2G02980"
"948","AT2G03330"
"949","AT2G03380"
"950","AT2G03450"
"951","AT2G03600"
"952","AT2G03750"
"953","AT2G03880"
"954","AT2G03925"
"955","AT2G04038"
"956","AT2G04050"
"957","AT2G04090"
"958","AT2G04205"
"959","AT2G04215"
"960","AT2G04430"
"961","AT2G04500"
"962","AT2G04680"
"963","AT2G04805"
"964","AT2G04842"
"965","AT2G05160"
"966","AT2G05205"
"967","AT2G05215"
"968","AT2G05380"
"969","AT2G05400"
"970","AT2G05440"
"971","AT2G05540"
"972","AT2G05620"
"973","AT2G05760"
"974","AT2G05910"
"975","AT2G06025"
"976","AT2G06040"
"977","AT2G06305"
"978","AT2G07335"
"979","AT2G07585"
"980","AT2G07633"
"981","AT2G07706"
"982","AT2G07739"
"983","AT2G07749"
"984","AT2G07776"
"985","AT2G07777"
"986","AT2G07779"
"987","AT2G07785"
"988","AT2G07787"
"989","AT2G07815"
"990","AT2G07825"
"991","AT2G07835"
"992","AT2G07850"
"993","AT2G08345"
"994","AT2G08425"
"995","AT2G08435"
"996","AT2G08665"
"997","AT2G08685"
"998","AT2G08735"
"999","AT2G08750"
"1000","AT2G08780"
"1001","AT2G08915"
"1002","AT2G09250"
"1003","AT2G09465"
"1004","AT2G09640"
"1005","AT2G09660"
"1006","AT2G09945"
"1007","AT2G13290"
"1008","AT2G13600"
"1009","AT2G13660"
"1010","AT2G13665"
"1011","AT2G13680"
"1012","AT2G13800"
"1013","AT2G13900"
"1014","AT2G13960"
"1015","AT2G14050"
"1016","AT2G14095"
"1017","AT2G14520"
"1018","AT2G14620"
"1019","AT2G14960"
"1020","AT2G15440"
"1021","AT2G15590"
"1022","AT2G15630"
"1023","AT2G15760"
"1024","AT2G15820"
"1025","AT2G15880"
"1026","AT2G15980"
"1027","AT2G16050"
"1028","AT2G16250"
"1029","AT2G16385"
"1030","AT2G16400"
"1031","AT2G16750"
"1032","AT2G16980"
"1033","AT2G16990"
"1034","AT2G17140"
"1035","AT2G17220"
"1036","AT2G17260"
"1037","AT2G17430"
"1038","AT2G17480"
"1039","AT2G17525"
"1040","AT2G17730"
"1041","AT2G17787"
"1042","AT2G17880"
"1043","AT2G17940"
"1044","AT2G17972"
"1045","AT2G18000"
"1046","AT2G18060"
"1047","AT2G18100"
"1048","AT2G18210"
"1049","AT2G18360"
"1050","AT2G18450"
"1051","AT2G18560"
"1052","AT2G18620"
"1053","AT2G18650"
"1054","AT2G18780"
"1055","AT2G18890"
"1056","AT2G18950"
"1057","AT2G19060"
"1058","AT2G19120"
"1059","AT2G19330"
"1060","AT2G19440"
"1061","AT2G19582"
"1062","AT2G19780"
"1063","AT2G19910"
"1064","AT2G20080"
"1065","AT2G20142"
"1066","AT2G20260"
"1067","AT2G20340"
"1068","AT2G20362"
"1069","AT2G20540"
"1070","AT2G20560"
"1071","AT2G20720"
"1072","AT2G20815"
"1073","AT2G20950"
"1074","AT2G21045"
"1075","AT2G21100"
"1076","AT2G21370"
"1077","AT2G21400"
"1078","AT2G21540"
"1079","AT2G21550"
"1080","AT2G21590"
"1081","AT2G21710"
"1082","AT2G21800"
"1083","AT2G21830"
"1084","AT2G22070"
"1085","AT2G22140"
"1086","AT2G22190"
"1087","AT2G22482"
"1088","AT2G22510"
"1089","AT2G22690"
"1090","AT2G22800"
"1091","AT2G22850"
"1092","AT2G23290"
"1093","AT2G23348"
"1094","AT2G23410"
"1095","AT2G23530"
"1096","AT2G23670"
