"","X","WS_FLT_c1.which.mclass....4...1."
"3185",3185,"AT5G54330"
"3010",3010,"AT5G39750"
"3184",3184,"AT5G54190"
"1504",1504,"AT3G03935"
"123",123,"AT1G06030"
"1693",1693,"AT3G14640"
"3179",3179,"AT5G54040"
"1274",1274,"AT2G33100"
"2593",2593,"AT4G39930"
"1772",1772,"AT3G23060"
"2360",2360,"AT4G18203"
"2551",2551,"AT4G36515"
"1614",1614,"AT3G09245"
"3320",3320,"ATMG00310"
"2595",2595,"AT5G00755"
"432",432,"AT1G25211"
"1927",1927,"AT3G46910"
"2999",2999,"AT5G39030"
"2851",2851,"AT5G17170"
"2518",2518,"AT4G32810"
"251",251,"AT1G09447"
"1159",1159,"AT2G20510"
"2162",2162,"AT4G05091"
"2635",2635,"AT5G02605"
"3200",3200,"AT5G55340"
"2260",2260,"AT4G09605"
"1919",1919,"AT3G46660"
"3004",3004,"AT5G39330"
"891",891,"AT2G01610"
"1851",1851,"AT3G28620"
"2257",2257,"AT4G09525"
"144",144,"AT1G06583"
"1024",1024,"AT2G08430"
"281",281,"AT1G09897"
"234",234,"AT1G09127"
"2274",2274,"AT4G10530"
"345",345,"AT1G16705"
"2953",2953,"AT5G33399"
"541",541,"AT1G47610"
"1898",1898,"AT3G45110"
"1508",1508,"AT3G04050"
"2756",2756,"AT5G08640"
"1206",1206,"AT2G25150"
"1304",1304,"AT2G36145"
"2127",2127,"AT4G03445"
"1037",1037,"AT2G08610"
"376",376,"AT1G20400"
"2580",2580,"AT4G38700"
"2267",2267,"AT4G09960"
"2131",2131,"AT4G03675"
"29",29,"AT1G04147"
"2465",2465,"AT4G27580"
"831",831,"AT1G74290"
"3258",3258,"AT5G62510"
"3269",3269,"AT5G63750"
"1063",1063,"AT2G09230"
"2859",2859,"AT5G17780"
"2585",2585,"AT4G39000"
"3079",3079,"AT5G44990"
"67",67,"AT1G04817"
"2254",2254,"AT4G09310"
"3294",3294,"ATCG00320"
"2758",2758,"AT5G08765"
"3152",3152,"AT5G51915"
"1538",1538,"AT3G05650"
"905",905,"AT2G02720"
"1003",1003,"AT2G07732"
"1018",1018,"AT2G08320"
"249",249,"AT1G09427"
"993",993,"AT2G07673"
"2396",2396,"AT4G21445"
"1458",1458,"AT3G02105"
"570",570,"AT1G49990"
"30",30,"AT1G04187"
"2855",2855,"AT5G17340"
"2841",2841,"AT5G15843"
"65",65,"AT1G04797"
"1064",1064,"AT2G09255"
"961",961,"AT2G05825"
"2723",2723,"AT5G07145"
"1088",1088,"AT2G09705"
"1557",1557,"AT3G07005"
"2464",2464,"AT4G27550"
"928",928,"AT2G04145"
"1452",1452,"AT3G01865"
"1574",1574,"AT3G08075"
"1571",1571,"AT3G07895"
"1080",1080,"AT2G09565"
"417",417,"AT1G24575"
"1143",1143,"AT2G18340"
"161",161,"AT1G07267"
"3353",3353,"ATMG01410"
"3256",3256,"AT5G62210"
"3070",3070,"AT5G44566"
"1445",1445,"AT3G01625"
"219",219,"AT1G08810"
"1241",1241,"AT2G30090"
"983",983,"AT2G07637"
"318",318,"AT1G13608"
"2063",2063,"AT3G61117"
"2888",2888,"AT5G22380"
"76",76,"AT1G05047"
"3077",3077,"AT5G44850"
"1339",1339,"AT2G40116"
"2140",2140,"AT4G04030"
"1296",1296,"AT2G35382"
"1111",1111,"AT2G13570"
"2600",2600,"AT5G00835"
"1537",1537,"AT3G05625"
"974",974,"AT2G06865"
"1035",1035,"AT2G08575"
"295",295,"AT1G10790"
"1362",1362,"AT2G42835"
"1252",1252,"AT2G30945"
"1223",1223,"AT2G27229"
"963",963,"AT2G05945"
"86",86,"AT1G05297"
"3108",3108,"AT5G46915"
"945",945,"AT2G05095"
"1758",1758,"AT3G21560"
"2780",2780,"AT5G09235"
"2763",2763,"AT5G08885"
"3129",3129,"AT5G49070"
"1983",1983,"AT3G52130"
"2229",2229,"AT4G08315"
"378",378,"AT1G20923"
"1131",1131,"AT2G17036"
"2097",2097,"AT4G00920"
"3019",3019,"AT5G40316"
"2793",2793,"AT5G09925"
"1471",1471,"AT3G02525"
"1076",1076,"AT2G09505"
"2612",2612,"AT5G01195"
"3230",3230,"AT5G59320"
"142",142,"AT1G06537"
"476",476,"AT1G31290"
"1667",1667,"AT3G13075"
"910",910,"AT2G03130"
"957",957,"AT2G05665"
"600",600,"AT1G52570"
"2439",2439,"AT4G25040"
"1279",1279,"AT2G33780"
"2933",2933,"AT5G26270"
"122",122,"AT1G06020"
"2149",2149,"AT4G04450"
"2319",2319,"AT4G14140"
"920",920,"AT2G03710"
"1812",1812,"AT3G26250"
"1096",1096,"AT2G09965"
"953",953,"AT2G05365"
"2492",2492,"AT4G29740"
"2728",2728,"AT5G07415"
"1013",1013,"AT2G08205"
"362",362,"AT1G18870"
"162",162,"AT1G07287"
"2281",2281,"AT4G11320"
"270",270,"AT1G09757"
"3314",3314,"ATMG00130"
