"","X","WS_c1.which.mclass....8...1."
"1305",1305,"AT2G45790"
"3071",3071,"AT5G46900"
"1626",1626,"AT3G19030"
"3264",3264,"AT5G61130"
"981",981,"AT2G22720"
"1042",1042,"AT2G27050"
"298",298,"AT1G21980"
"1372",1372,"AT3G02180"
"1261",1261,"AT2G42610"
"1232",1232,"AT2G41010"
"970",970,"AT2G21970"
"86",86,"AT1G07750"
"728",728,"AT1G74160"
"952",952,"AT2G20370"
"1771",1771,"AT3G43610"
"1954",1954,"AT3G57990"
"682",682,"AT1G70570"
"2656",2656,"AT5G09330"
"1998",1998,"AT3G61820"
"2245",2245,"AT4G20270"
"381",381,"AT1G29370"
"1139",1139,"AT2G35060"
"2112",2112,"AT4G09150"
"3037",3037,"AT5G44100"
"1572",1572,"AT3G15430"
"2889",2889,"AT5G24165"
"1084",1084,"AT2G30200"
"491",491,"AT1G50290"
"2721",2721,"AT5G13520"
"143",143,"AT1G11545"
"480",480,"AT1G49040"
"1679",1679,"AT3G23310"
"917",917,"AT2G17560"
"964",964,"AT2G21410"
"604",604,"AT1G62500"
"2782",2782,"AT5G16840"
"1288",1288,"AT2G44530"
"2106",2106,"AT4G08685"
"123",123,"AT1G09740"
"2164",2164,"AT4G14000"
"2336",2336,"AT4G27180"
"927",927,"AT2G18150"
"1825",1825,"AT3G48530"
"1104",1104,"AT2G32260"
"960",960,"AT2G21250"
"1955",1955,"AT3G58030"
"2991",2991,"AT5G41190"
"1020",1020,"AT2G25760"
"365",365,"AT1G28330"
"163",163,"AT1G12760"
"2297",2297,"AT4G24800"
"272",272,"AT1G19880"
"741",741,"AT1G75370"
"471",471,"AT1G48480"
"675",675,"AT1G69960"
